frame_number,processing_time
1,7.1889
2,7.0207
3,5.2567
4,4.9776
5,3.9348
6,3.1859
7,15.854
9,15.9507
10,15.9812
11,16.1428
13,16.1517
14,15.8731
16,15.9169
18,15.853
20,15.9613
22,16.0682
23,15.946
24,15.7035
25,16.1196
26,15.8615
28,16.0537
30,15.9797
31,15.8909
33,15.9983
34,15.9082
36,15.9967
37,16.0091
38,15.992
40,15.991
41,15.8232
42,16.7029
43,16.0934
44,16.0962
46,16.0435
47,16.1275
48,16.0321
50,16.1515
51,16.2062
52,16.5588
53,16.2109
55,16.0174
56,15.9933
57,15.8252
58,15.9808
59,15.909
61,15.9766
62,15.9702
63,15.8217
65,15.9389
66,16.1691
67,15.8488
68,16.1086
69,15.8215
70,16.0013
71,15.817
72,16.2113
73,15.8637
74,16.0841
75,15.9398
76,16.1655
77,15.8255
78,16.7997
79,16.0534
81,16.0168
82,15.9035
83,16.0467
84,15.8739
85,15.9519
86,15.9998
87,15.8723
89,15.9599
90,15.897
91,16.1329
92,15.8024
94,15.9166
95,16.0465
96,15.9857
97,16.1014
98,15.8637
100,15.8816
101,16.0988
102,15.8389
103,16.0005
104,15.8404
105,16.1562
106,15.7944
107,16.0283
108,15.8713
109,15.9449
110,15.7728
111,16.0823
112,16.0215
113,15.8163
115,15.8117
116,16.0039
117,18.0122
118,16.2138
120,15.9464
121,16.0081
122,15.7445
123,16.0224
124,15.744
125,16.0229
126,15.7846
127,16.0
128,15.8069
129,16.0949
130,15.8573
131,16.0075
132,15.8325
133,15.9843
134,18.0799
135,16.2579
137,15.8389
138,16.1614
139,15.7628
140,15.9975
141,15.8489
142,16.0011
143,15.8376
144,16.0423
145,15.8175
146,16.0118
147,15.8063
148,16.0147
149,15.7596
150,16.1743
151,16.7586
152,16.122
154,15.9296
155,16.0432
156,15.807
157,15.9921
158,15.8098
159,16.0952
160,15.7586
161,15.9789
162,15.7836
163,15.9789
164,15.7478
165,16.036
166,18.1764
167,16.1466
169,15.8139
170,16.0637
171,15.9166
172,16.0613
173,15.9467
174,16.0235
176,15.8853
177,15.9667
178,15.7334
179,15.7611
180,16.0308
181,18.308
182,16.3094
184,15.7829
185,16.0258
186,15.8312
187,16.0737
188,15.7877
189,16.0955
190,15.7815
191,15.9322
192,15.9831
193,16.0617
194,15.8356
195,16.1372
196,16.5325
197,16.1483
199,15.8423
200,16.0134
201,15.7624
202,16.0174
203,15.7805
204,15.9298
205,15.8164
206,15.7984
207,16.1423
208,15.7891
209,16.0137
210,16.4098
211,16.0605
213,15.9137
214,15.9694
215,15.8084
216,16.2937
217,15.8699
218,16.1183
219,15.8089
221,15.9305
222,16.1785
223,17.6467
224,16.1003
226,15.9574
227,15.9523
228,15.9619
229,15.7829
230,16.0672
231,15.7736
232,16.0434
233,15.8029
234,16.1804
235,15.8404
236,16.3324
238,16.2362
240,16.0361
241,15.8851
242,16.1101
243,15.7439
244,16.1572
245,15.809
246,16.2355
247,15.888
248,16.1105
249,15.9925
250,15.9109
251,16.9558
252,15.8951
254,15.9206
255,16.2497
256,15.7998
258,16.0722
259,16.0071
260,15.8504
261,16.0444
262,15.7034
263,16.0524
264,15.9469
265,16.0584
267,15.8188
268,15.957
269,15.8696
270,16.0192
271,15.7973
272,16.043
273,15.8623
274,16.009
275,15.8628
276,16.062
277,16.7258
278,16.445
280,16.0722
281,16.0952
282,15.9647
283,16.1666
284,15.8479
285,16.1997
286,15.9076
287,15.9656
288,15.8388
289,16.0026
290,16.6988
291,16.3661
293,15.9182
294,16.1884
295,15.8218
296,16.0749
297,16.275
298,15.9218
300,15.8793
301,15.7591
302,16.04
303,16.6232
304,16.4548
306,15.9512
307,16.139
308,15.7966
309,16.1474
310,15.7855
311,16.0558
312,16.0088
313,16.0767
314,15.8512
315,16.086
316,16.7729
317,16.3469
319,15.8614
320,15.8324
321,16.1239
322,15.796
324,15.8733
325,15.9574
326,15.8393
327,16.1103
328,15.7934
329,17.1984
330,15.9579
332,15.8586
333,15.9961
334,15.8895
335,16.0684
336,15.8741
337,15.9471
338,15.8077
339,15.8769
340,15.9623
341,15.7695
342,16.1357
344,15.8075
345,15.9968
346,15.7897
347,16.1081
348,15.8499
349,15.9788
350,15.7617
351,15.935
352,16.0217
353,15.7163
354,16.1251
355,16.4499
356,16.3915
358,16.001
359,16.1142
361,15.8361
362,15.9752
363,15.9288
364,16.0181
365,15.8498
366,16.1548
367,15.8328
368,16.7317
369,16.1626
371,15.9444
373,16.0375
374,15.8558
376,16.1732
377,15.7867
378,15.7266
379,15.8253
380,15.7525
381,15.8829
382,16.0812
384,15.7479
385,15.8397
386,15.8874
388,16.0903
390,15.9047
391,16.0032
393,16.5714
394,16.5426
396,15.9013
397,16.0367
398,15.7587
399,15.8826
400,15.8324
402,16.0516
403,15.7814
404,15.714
405,16.0843
406,15.8793
