frame_number,processing_time
1,3.1712
2,3.0147
3,3.0944
4,3.0414
5,3.1156
6,3.4398
7,2.9734
8,3.1767
9,3.0161
10,2.984
11,3.0862
12,3.0196
13,2.9288
14,3.2304
15,3.0493
16,3.5092
17,3.0268
18,3.0163
19,2.9602
20,3.2003
21,3.0352
22,3.1116
23,2.9779
24,3.0704
25,3.0286
26,3.2181
27,2.9953
28,3.0507
29,3.1195
30,3.0347
31,3.0812
32,2.9155
33,3.0823
34,2.9329
35,3.2236
36,2.9981
37,3.0489
38,3.0807
39,3.0811
40,2.9395
41,3.0346
42,3.1048
43,2.9317
44,3.1671
45,3.028
46,2.9743
47,3.202
48,3.1547
49,2.9091
50,2.9786
51,2.897
52,3.0905
53,3.2091
54,3.026
55,3.2324
56,3.0034
57,3.0011
58,3.043
59,2.9221
60,2.9708
61,2.9775
62,2.9835
63,3.0625
64,3.0313
65,3.0579
66,3.0462
67,2.9644
68,3.1632
69,3.1221
70,3.5607
71,3.185
72,3.174
73,3.0913
74,3.0595
75,2.9513
76,3.0944
77,3.0846
78,2.9692
79,3.11
80,3.0948
81,3.1035
82,3.1083
83,2.8879
84,2.9514
85,3.1539
86,3.019
87,2.8779
88,3.0802
89,2.9954
90,3.0024
91,3.1743
92,2.947
93,3.0987
94,3.0059
95,3.0785
96,3.0141
97,3.0155
98,2.9446
99,3.0709
100,3.073
101,3.0447
102,2.999
103,3.0814
104,2.9184
105,2.8674
106,3.1132
107,2.991
108,3.0401
109,3.1213
110,2.9309
111,2.9746
112,3.1011
113,2.8717
114,2.8632
115,3.1408
116,2.9893
117,3.1333
118,3.1376
119,2.94
120,3.0475
121,2.954
122,3.2924
123,3.0211
124,2.9957
125,3.0932
126,3.026
127,3.0381
128,2.9431
129,2.9707
130,3.1713
131,3.1222
132,2.893
133,3.132
134,2.9886
135,3.1226
136,3.1469
137,2.9624
138,2.8765
139,3.0902
140,3.0918
141,2.877
142,3.1626
143,2.9936
144,3.0488
145,3.0239
146,3.0845
147,3.1015
148,2.9806
149,3.0685
150,3.0601
151,3.0362
152,3.1217
153,3.05
154,3.267
155,3.0833
156,2.9573
157,2.8868
158,3.1075
159,3.0098
160,2.9372
161,2.9698
162,2.9574
163,3.0424
164,3.1749
165,3.097
166,3.088
167,3.0757
168,3.0096
169,2.9851
170,3.1806
171,3.0588
172,2.8725
173,3.2576
174,3.1408
175,3.0885
176,3.093
177,3.0371
178,3.0619
179,3.1492
180,3.0803
181,2.9375
182,3.0815
183,2.9931
184,3.2046
185,3.1123
186,2.978
187,3.0398
188,3.0387
189,2.9271
190,3.2296
191,3.0101
192,3.1215
193,3.1624
194,3.1176
195,2.906
196,3.1635
197,3.0633
198,3.0268
199,3.1623
200,3.2028
201,2.9858
202,3.3533
203,3.1441
204,3.0192
205,3.0372
206,2.9083
207,3.0718
208,3.0449
209,3.078
210,3.0424
211,2.9707
212,3.1491
213,2.9607
214,2.9574
215,3.0405
216,3.0318
217,3.0103
218,3.0494
219,2.9283
220,3.0139
221,3.2669
222,3.0871
223,2.9512
224,3.0552
225,2.9702
226,3.0101
227,3.1896
228,3.0185
229,2.9952
230,3.2446
231,3.0348
232,3.0876
233,2.8901
234,3.0682
235,2.9758
236,2.9715
237,3.0673
238,3.0198
239,3.0146
240,3.059
241,3.0986
242,3.1175
243,2.9177
244,3.036
245,3.1511
246,3.0448
247,2.9987
248,3.1764
249,2.9951
250,3.0237
251,3.3337
252,3.1012
253,3.0175
254,3.0668
255,2.9709
256,2.9449
257,3.0621
258,2.9452
259,2.9407
260,3.0517
261,3.1289
262,3.151
263,3.1136
264,2.9827
265,3.1025
266,3.0298
267,2.9972
268,3.1685
269,2.9509
270,3.018
271,3.2641
272,3.1327
273,3.0064
274,3.1186
275,2.9591
276,2.996
277,3.0744
278,2.9108
279,3.0518
280,3.1502
281,3.1498
282,3.1135
283,2.9308
284,3.065
285,2.9549
286,2.9129
287,2.9925
288,3.1519
289,3.0035
290,2.9939
291,3.0124
292,3.0591
293,2.8763
294,3.0857
295,3.0466
296,2.9237
297,2.9064
298,3.137
299,2.9716
300,3.0952
301,3.0991
302,3.0394
303,3.0515
304,3.0238
305,2.9875
306,2.969
307,2.9992
308,2.9745
309,3.0067
310,2.9514
311,3.3405
312,3.0413
313,3.0069
314,3.0569
315,2.9578
316,2.8992
317,3.345
318,3.0528
319,2.9874
320,3.0587
321,3.1663
322,3.1398
323,3.0077
324,2.7908
325,3.0457
326,3.0325
327,2.9236
328,3.2185
329,3.0893
330,3.9209
331,3.1215
332,3.0999
333,2.9587
334,3.0438
335,3.1288
336,3.0862
337,3.0948
338,3.0778
339,3.0832
340,3.1706
341,3.0969
342,2.9389
343,3.0921
344,3.1653
345,2.9073
346,3.0664
347,2.9786
348,2.9475
349,3.1086
350,2.978
351,3.0709
352,2.9404
353,2.8635
354,3.0309
355,3.2916
356,2.9252
357,3.1116
358,3.032
359,3.0327
360,3.1899
361,3.1829
362,2.9193
363,2.9663
364,2.925
365,3.0333
366,2.9714
367,3.0566
368,3.0034
369,2.9561
370,3.3411
371,3.0771
372,3.0723
373,2.9005
374,3.1351
375,3.0877
376,2.9706
377,3.091
378,3.1402
379,3.0302
380,3.1385
381,3.009
382,3.0636
383,3.1392
384,3.004
385,3.104
386,3.0026
387,2.9485
388,3.2038
389,2.8731
390,2.8815
391,3.2379
392,3.1556
393,2.9645
394,3.0844
395,2.9179
396,3.1801
397,2.9668
398,3.0163
399,2.9892
400,3.1372
401,3.1249
402,3.1541
403,3.1057
404,2.918
405,3.0853
406,2.9915
407,2.8373
408,3.0308
409,3.0313
410,2.9351
411,3.231
412,3.1519
413,2.8726
414,3.1801
415,2.9851
416,3.0902
417,2.9966
418,3.0117
419,3.0789
420,3.0122
421,2.9898
422,3.088
423,3.1599
424,3.0992
425,3.1259
426,3.0629
427,3.1204
428,3.1171
429,3.102
430,3.1554
431,3.1115
432,3.1438
433,3.0723
434,3.0735
435,2.9731
436,3.0042
437,3.133
438,2.9118
439,3.0198
440,3.1726
441,3.0687
442,3.0728
443,3.0093
444,3.1768
445,3.1123
446,3.0232
447,3.0693
448,3.0849
449,2.9586
450,3.1302
451,3.0142
452,2.9784
453,3.3858
454,3.292
455,3.1201
456,3.125
457,3.0613
458,3.1225
459,3.1124
460,3.113
461,3.0833
462,3.1081
463,2.9535
464,3.0462
465,3.0441
466,2.9997
467,2.9059
468,3.033
469,2.987
470,2.908
471,3.0824
472,2.9769
473,2.8747
474,3.2802
475,3.1652
476,3.0225
477,3.1592
478,3.0202
479,2.9794
480,2.9597
481,3.1018
482,3.0403
483,3.0353
484,3.0261
485,3.1168
486,3.0131
487,3.0316
488,3.123
489,3.0775
490,3.2343
491,3.0488
492,3.0241
493,3.2742
494,3.1978
495,2.9986
496,3.0121
497,3.0881
498,3.0887
499,3.1601
500,3.0426
501,2.9001
502,3.3096
503,3.085
504,2.9617
505,3.1479
506,3.0608
507,2.9501
508,3.2287
509,3.0618
510,3.0015
511,3.2054
512,3.0498
513,3.0154
514,3.2893
515,3.0672
516,3.023
517,3.0951
518,3.102
519,2.9797
520,3.1389
521,2.984
522,2.9055
523,3.0958
524,3.1296
525,3.0183
526,3.0698
527,3.1125
528,2.9041
529,3.1019
530,3.0325
531,2.9715
532,3.1012
533,3.0903
534,2.8548
535,3.3262
536,3.1082
537,2.8985
538,3.0834
539,3.1086
540,2.9964
541,3.1521
542,3.0896
543,3.0209
544,3.158
545,3.0089
546,3.1568
547,3.0671
548,3.0419
549,3.0066
550,3.0183
551,2.9228
552,2.9458
553,3.042
554,2.9988
555,3.0762
556,3.1123
557,3.1153
558,3.0193
559,2.8827
560,2.996
561,3.1202
562,3.0549
563,3.1402
564,3.2235
565,3.1301
566,3.1698
567,3.0776
568,3.098
569,2.9351
570,2.9568
571,3.1138
572,3.0168
573,3.0032
574,3.0685
575,2.9876
576,3.0001
577,3.0804
578,3.0307
579,3.07
580,3.2257
581,3.002
582,3.0758
583,2.9642
584,3.2344
585,3.0071
586,3.0095
587,3.064
588,3.1623
589,3.1053
590,2.9206
591,2.8482
592,3.2179
593,3.0765
594,2.9556
595,3.0673
596,3.1009
597,3.0003
598,3.0161
599,3.226
600,3.0808
601,2.9378
602,3.0866
603,3.0538
604,3.0266
605,3.0445
606,3.0905
607,3.0379
608,2.9863
609,3.2251
610,3.0559
611,3.1614
612,3.0244
613,3.0584
614,3.1487
615,3.1075
616,3.0853
617,3.1106
618,3.0537
619,2.9832
620,3.3868
621,3.1665
622,3.0439
623,3.0325
624,2.9531
625,3.0712
626,3.1957
627,3.1552
628,3.0885
629,2.978
630,3.0356
631,2.9264
632,3.1452
633,3.0589
634,3.0836
635,3.0194
636,2.9042
637,3.1313
638,3.0005
639,2.9924
640,3.1229
641,2.9885
642,3.026
643,2.9891
644,2.8497
645,3.0182
646,2.9418
647,3.3123
648,3.0091
649,3.0481
650,3.0638
651,2.9874
652,3.2624
653,3.0482
654,2.9587
655,3.268
656,3.0307
657,3.0934
658,2.9938
659,2.9673
660,3.0717
661,3.1174
662,2.9364
663,3.0475
664,3.0276
665,2.8818
666,3.1046
667,2.877
668,3.2027
669,3.0503
670,2.962
671,3.1358
672,3.004
673,3.3131
674,2.9851
675,2.9767
676,3.1429
677,3.0997
678,2.9945
679,3.1902
680,3.0658
681,3.0059
682,3.0892
683,2.9454
684,3.328
685,3.1168
