frame_number,processing_time
1,16.2861
2,15.8746
3,15.9799
4,15.814
5,15.8928
6,15.7983
7,16.0193
8,16.7807
9,17.2271
11,16.11
13,16.0695
14,16.0125
15,15.9332
16,16.0314
17,15.9002
18,15.8769
19,15.8877
20,16.0025
21,16.7526
22,16.8924
24,16.2522
25,15.9244
26,15.8466
27,15.8357
28,15.8235
29,16.0866
30,15.8147
31,15.8156
32,15.8679
33,16.0046
34,16.7781
35,16.8127
37,16.197
38,15.9723
39,15.9379
40,15.9481
41,16.1235
42,16.0282
43,15.8598
44,15.9218
45,16.2713
46,15.9377
47,15.923
48,16.8277
49,16.202
51,16.0472
52,15.8715
53,15.8257
54,16.0267
55,15.9102
56,15.9402
57,15.8661
58,16.0286
59,15.9454
60,16.0969
61,16.6358
62,17.0742
64,16.0322
65,16.0869
66,15.8965
67,15.9591
68,15.8677
69,16.0115
70,15.8535
71,16.4657
72,15.9527
74,16.0658
75,15.9985
76,15.9117
77,16.0376
78,15.9239
79,16.0501
80,15.8958
81,16.0409
82,16.0506
84,16.0763
85,16.0342
86,15.9308
87,16.0513
88,15.8838
89,15.9846
90,15.9552
91,16.0614
92,15.9753
94,15.9996
95,16.0225
96,15.8657
97,15.8472
98,16.0723
99,15.9048
100,15.8155
101,16.1853
102,15.9749
103,15.9988
104,16.1092
106,16.072
107,16.0501
108,15.9271
109,16.0195
110,15.9531
111,16.0447
112,15.8267
113,16.1574
114,16.1107
116,16.0859
117,16.0839
118,15.9243
119,15.9021
120,16.2714
121,15.8593
122,16.0369
123,15.9846
124,16.1018
125,15.9981
127,16.0635
128,16.0063
129,15.9952
130,16.0204
131,16.0453
132,16.0849
134,16.0545
135,16.2842
136,16.0032
137,16.0825
138,16.0142
139,15.9825
140,15.8762
141,16.0721
142,15.8228
143,16.0234
144,15.9738
145,15.9915
146,15.9165
147,16.0506
148,16.045
149,15.8544
150,15.8777
151,15.945
152,15.855
153,16.0805
154,15.8935
155,16.0653
156,15.9882
157,15.858
158,16.0267
159,16.1229
160,15.8203
161,16.0369
162,16.008
163,16.0229
164,15.9494
165,16.0032
166,15.9222
167,16.0992
168,16.0303
169,15.7983
170,15.9868
171,16.1451
172,16.0971
174,16.0459
175,16.004
176,15.8841
177,15.8663
178,15.8096
179,15.8566
180,16.085
181,15.9255
182,15.9536
183,15.9794
184,15.8276
185,16.8922
186,16.0635
188,15.9761
189,16.0584
190,15.8684
191,15.9348
192,15.858
193,15.9878
194,15.9047
195,15.9884
196,15.8376
197,15.903
198,16.6665
199,16.9218
201,16.1651
202,16.0096
203,15.9318
204,16.1717
205,15.9123
206,16.0522
207,15.8899
208,16.0644
209,16.0783
211,16.2441
212,16.3102
213,15.9859
214,16.101
215,15.9486
216,16.0916
217,15.932
218,16.133
219,16.3697
221,16.0853
222,16.0392
223,15.8759
224,16.1353
225,15.9637
226,16.0783
227,15.8619
228,16.172
229,16.088
231,16.1551
232,16.0359
233,15.9094
234,15.9124
235,15.9669
236,15.8766
237,15.8327
238,16.0151
239,15.8656
240,16.1708
241,16.0976
243,16.1778
244,16.0506
245,16.0819
246,15.9135
247,16.0728
248,15.8697
249,16.0392
250,15.9783
251,16.0911
252,16.0018
253,16.0162
254,15.97
255,15.8933
256,16.0326
257,15.9035
258,16.0765
259,15.9427
260,16.0942
261,15.9531
262,16.1022
263,15.913
264,16.1124
265,15.9521
266,16.0256
267,16.0029
268,15.8873
269,16.0737
270,15.8798
271,16.0446
272,15.9358
273,16.0868
274,15.9653
275,16.0787
276,15.9439
277,15.8967
278,16.0067
279,15.9042
280,16.0427
281,15.9854
282,16.089
283,15.9243
284,15.9945
285,15.9512
286,15.9341
287,16.0373
288,15.902
289,16.1523
290,15.889
291,16.0808
292,15.9287
293,16.0153
294,15.9298
295,16.0502
296,15.9514
297,15.9731
298,16.0413
299,16.0051
300,16.1074
301,15.9413
302,16.0114
303,15.918
304,16.0393
305,16.0145
306,16.2085
307,15.8996
308,16.2433
309,16.0527
310,16.1157
311,16.0294
312,16.1024
313,15.9582
314,16.077
315,16.0741
316,16.3794
317,16.0279
318,16.0531
319,15.9328
320,16.0802
321,16.1663
322,16.263
323,15.995
324,16.1153
325,15.9357
326,16.1063
327,15.9318
328,15.9563
329,16.0595
330,15.9311
331,16.0775
332,15.8951
333,16.0503
334,15.9626
335,16.0347
336,16.7812
338,16.1542
339,16.1014
340,15.8491
341,16.1289
342,15.8716
343,16.0477
344,15.8915
345,16.0468
346,16.5964
347,16.4218
349,16.1253
351,16.3069
352,16.0344
353,15.9676
354,15.9233
355,16.0513
356,15.9615
357,16.2294
358,16.0117
360,16.1683
361,16.0036
362,15.9279
363,15.8953
364,16.0546
365,15.8725
366,16.0116
367,16.0576
368,16.2508
369,16.1068
371,16.1358
372,16.1254
373,15.9056
374,16.0921
375,15.9917
376,16.0965
377,15.9552
378,16.1861
379,15.9774
380,16.0543
381,16.0046
382,16.0561
383,16.0261
384,16.0545
385,15.8723
386,16.1083
387,16.0036
388,16.0987
389,15.9834
390,16.0779
391,15.8743
392,16.0729
393,16.0981
394,16.0249
395,15.9221
396,16.0366
397,15.9458
398,15.9469
399,16.1245
400,15.9183
401,16.0559
402,16.0078
403,15.9795
404,15.9409
405,15.945
406,16.1171
407,15.9338
408,15.8729
409,16.0508
410,15.9576
411,16.1016
412,15.9331
413,15.9363
414,16.0584
415,15.9246
416,16.0496
417,15.9779
418,16.0676
419,15.9196
420,16.1068
421,15.9169
422,16.0978
423,16.006
424,16.0968
425,15.9905
426,16.1321
427,15.9292
428,16.1942
429,16.1461
430,16.0015
431,15.9242
432,16.0375
433,15.9391
434,16.0675
435,16.148
436,16.0398
437,15.9671
438,16.0968
439,15.9407
440,16.0507
441,15.9584
442,16.1208
443,15.9737
444,16.1589
445,15.9611
446,16.1509
447,16.0089
448,16.0739
449,15.9683
450,16.0514
451,15.9008
452,16.0709
453,15.9121
454,16.0346
455,15.9327
456,16.0797
457,15.8585
458,15.9
459,16.0862
460,15.8712
461,16.0703
462,15.9528
463,16.0608
464,15.9473
465,16.1699
466,15.9478
467,16.0937
468,15.9343
469,16.1478
470,15.9509
471,16.1984
472,15.8854
473,16.0492
474,16.0399
475,16.03
476,15.8955
477,16.0564
478,15.9176
479,16.0087
480,15.9409
481,16.0017
482,15.9222
483,16.139
484,15.9631
485,16.0366
486,15.9498
487,15.9754
488,15.9547
489,15.9785
490,16.1453
491,15.9678
492,15.9928
493,16.0312
494,15.9477
495,16.099
496,15.9489
497,16.0708
498,16.0063
499,15.9984
500,15.9205
501,16.1527
502,15.8845
503,15.9516
504,16.0846
505,16.3558
507,16.1214
508,16.0518
509,15.9077
510,16.0777
511,15.9662
512,16.0713
513,15.9254
514,16.3627
515,16.0205
517,16.0957
518,15.8936
519,16.0689
520,15.8872
521,15.9448
522,16.0672
523,15.7839
524,16.0467
525,15.8909
526,16.0814
527,15.9388
528,16.1181
529,15.9201
530,16.0115
531,15.85
532,15.81
533,16.0749
534,15.9109
535,16.0462
536,15.9149
537,16.0205
538,15.8242
539,15.8682
540,15.9947
541,15.8459
542,16.1021
543,15.8986
544,16.0345
545,16.0666
546,16.0447
547,15.8749
548,16.0523
549,15.8919
550,15.8369
551,16.1927
552,16.0031
553,16.0414
554,15.9651
555,16.176
556,15.9371
557,16.1259
558,15.9656
559,16.0213
560,15.9726
561,15.9529
562,16.0492
563,15.981
564,16.0887
565,15.8898
566,16.0936
567,15.8658
568,16.0411
569,15.9804
570,16.0898
571,15.9602
572,16.0367
573,15.9882
574,16.0445
575,15.9915
576,15.9172
577,16.0516
578,15.9719
579,16.0159
580,16.6701
581,16.4639
583,16.128
584,16.0204
585,15.8843
586,15.9755
587,15.9148
588,16.0526
589,15.9101
590,16.0046
591,15.9767
593,16.0128
594,15.8515
595,16.0542
596,15.8718
597,16.0172
598,15.8919
599,16.019
600,15.891
601,16.0398
602,15.8895
603,16.0204
604,15.8519
605,15.9134
606,16.0654
607,15.7627
608,15.9711
609,15.9285
610,15.871
611,15.967
612,15.8211
613,16.1158
614,15.8599
615,16.0598
616,15.9118
617,16.0084
618,15.7969
619,16.0504
620,15.928
621,16.0297
622,15.8706
623,16.0996
624,15.896
625,16.0379
626,15.834
627,16.0268
628,15.8867
629,16.0083
630,15.9833
631,16.0843
632,15.8757
633,16.0977
634,15.9588
635,16.0604
636,15.8426
637,16.0622
638,15.9048
639,16.0337
640,15.9163
641,16.0354
642,15.9773
643,16.1487
644,15.9176
645,16.0509
646,15.9544
647,16.0467
648,15.8739
649,15.935
650,16.0502
651,15.9749
652,16.0464
653,15.8955
654,16.0414
655,15.9435
656,16.0427
