frame_number,processing_time
1,3.1917
2,2.985
3,3.1096
4,2.929
5,2.8982
6,2.9864
7,3.1404
8,3.0871
9,3.2271
10,3.3324
11,3.052
12,3.1824
13,3.2357
14,2.9717
15,2.8969
16,3.0257
17,3.0748
18,3.0509
19,3.0134
20,3.0705
21,3.1983
22,3.0956
23,3.1493
24,3.1448
25,2.9895
26,3.128
27,2.9259
28,3.0676
29,2.9586
30,3.108
31,2.9107
32,2.9967
33,3.2248
34,2.9863
35,3.1423
36,3.1964
37,3.2477
38,3.0618
39,3.2197
40,3.1507
41,3.3685
42,3.1111
43,3.0464
44,3.0833
45,3.072
46,3.2651
47,3.1654
48,2.9077
49,2.9694
50,2.9291
51,3.1122
52,2.8983
53,3.0847
54,3.173
55,3.199
56,3.2537
57,3.111
58,2.9372
59,3.2502
60,3.1114
61,2.8805
62,3.191
63,3.2099
64,3.0323
65,3.1663
66,3.0429
67,2.8379
68,3.2101
69,3.1666
70,3.4068
71,3.103
72,2.9232
73,3.0522
74,3.1409
75,2.9399
76,3.3215
77,3.2412
78,2.8363
79,3.1031
80,2.8461
81,3.1778
82,3.0429
83,3.1104
84,3.0592
85,3.0058
86,2.9629
87,3.1602
88,2.9916
89,3.1154
90,3.0924
91,3.1173
92,3.2298
93,3.0182
94,3.0715
95,3.0487
96,2.9907
97,3.2222
98,2.9677
99,3.1841
100,3.0822
101,3.1878
102,3.0725
103,3.0286
104,3.2031
105,2.9909
106,2.8816
107,3.0909
108,2.9793
109,3.0814
110,2.8704
111,3.1422
112,2.9725
113,3.0337
114,3.2061
115,3.0449
116,3.0493
117,3.1668
118,3.0917
119,2.9984
120,3.1757
121,2.9566
122,2.9416
123,3.0903
124,3.0345
125,2.9361
126,3.1307
127,3.0873
128,2.9376
129,3.6263
130,3.291
131,3.0449
132,3.0076
133,3.0518
134,3.1767
135,2.9539
136,3.0218
137,3.0886
138,3.1293
139,2.9379
140,3.2274
141,2.9222
142,2.878
143,3.2724
144,3.211
145,3.0006
146,3.1686
147,3.0046
148,3.0914
149,3.05
150,3.1033
151,3.3665
152,2.8477
153,3.0346
154,3.0012
155,2.9886
156,3.0897
157,3.5794
158,3.2996
159,3.1496
160,3.108
161,2.9166
162,3.1654
163,2.9792
164,3.0878
165,3.2182
166,3.1092
167,3.1167
168,3.0256
169,3.0295
170,3.111
171,3.0971
172,3.0527
173,3.1795
174,2.9844
175,3.0024
176,3.1189
177,3.0517
178,2.9799
179,3.26
180,3.0808
181,2.904
182,3.1113
183,3.0733
184,3.0437
185,3.1473
186,3.1902
187,3.1811
188,3.1872
189,3.0874
190,3.5437
191,3.1678
192,3.0446
193,2.9696
194,3.1196
195,3.0777
196,2.9507
197,3.1541
198,3.0026
199,3.1181
200,2.929
201,3.1051
202,2.9587
203,2.991
204,3.0577
205,3.1785
206,3.2247
207,3.016
208,2.9821
209,3.2907
210,2.9782
211,3.1971
212,3.1214
213,2.9303
214,3.0898
215,3.0401
216,3.0601
217,2.9353
218,3.0203
219,3.1
220,3.1132
221,2.9234
222,3.2752
223,2.9605
224,3.1494
225,3.2425
226,3.0423
227,3.145
228,3.0423
229,2.9307
230,3.2375
231,2.972
232,3.2046
233,3.1666
234,3.0488
235,3.1917
236,3.1262
237,2.9128
238,3.1019
239,3.2006
240,3.0426
241,3.0391
242,3.0301
243,3.035
244,3.1896
245,3.0227
246,3.0556
247,3.1859
248,3.0051
249,3.0991
250,3.2003
251,3.1922
252,3.158
253,3.2749
254,3.1655
255,3.2101
256,2.9821
257,3.2393
258,3.1355
259,3.0176
260,3.1546
261,3.0064
262,3.0262
263,3.1873
264,3.0123
265,3.1874
266,2.9217
267,2.9999
268,3.0085
269,2.9843
270,3.5969
271,3.162
272,3.112
273,2.9583
274,3.0329
275,3.1123
276,3.0582
277,3.042
278,3.0193
279,3.1717
280,2.9959
281,2.932
282,3.2281
283,2.9539
284,2.9121
285,3.1416
286,3.098
287,2.9818
288,3.2078
289,3.0132
290,3.3609
291,3.2014
292,3.1064
293,2.9887
294,2.9214
295,3.086
296,3.0764
297,2.9872
298,3.143
299,3.0305
300,2.9748
301,3.1736
302,3.118
303,2.9899
304,3.0799
305,3.1472
306,3.0624
307,3.0821
308,3.0025
309,3.1019
310,2.8998
311,3.1102
312,2.9989
313,3.0686
314,3.0486
315,3.4507
316,3.1316
317,3.1239
318,3.0503
319,3.0688
320,3.0021
321,3.1529
322,2.9632
323,2.9298
324,3.1746
325,2.9763
326,3.0448
327,3.2559
328,3.2884
329,3.0041
330,3.1562
331,3.0538
332,3.0641
333,3.0859
334,2.9749
335,3.1497
336,3.0085
337,3.1769
338,3.2813
339,2.9407
340,3.011
341,3.1671
342,2.9012
343,3.0323
344,3.0599
345,3.0036
346,3.102
347,3.0894
348,3.0414
349,3.0491
350,3.0217
351,3.0576
352,2.9368
353,2.9557
354,3.0962
355,2.8441
356,3.0846
357,3.0906
358,3.065
359,3.1591
360,3.1054
361,3.1366
362,3.0372
363,3.1028
364,3.1445
365,3.2154
366,3.0514
367,3.1159
368,3.2246
369,3.0864
370,3.1604
371,3.2206
372,2.9993
373,3.1598
374,3.1001
375,3.0311
376,2.9762
377,3.1949
378,3.027
379,3.0141
380,3.255
381,3.0357
382,3.09
383,3.0203
384,3.0045
385,3.1463
386,2.9511
387,3.2207
388,3.0336
389,3.1774
390,3.3416
391,2.9203
392,3.0254
393,3.0169
394,2.8275
395,3.0786
396,3.0043
397,3.1469
398,3.1002
399,2.9693
400,3.1473
401,2.8547
402,3.0637
403,2.9715
404,3.075
405,2.857
406,3.0756
407,2.8645
408,3.1784
409,3.0701
410,2.9758
411,3.1609
412,2.9844
413,2.9426
414,3.1365
415,2.8558
416,3.1433
417,3.0947
418,2.9051
419,3.1792
420,2.9945
421,3.0236
422,3.0741
423,2.9624
424,3.0026
425,2.8991
426,3.1396
427,2.8622
428,2.9522
429,3.2126
430,3.0617
431,2.984
432,3.1377
433,2.9417
434,2.95
435,3.1937
436,3.0715
437,2.9619
438,3.0137
439,3.0245
440,3.0449
441,3.2035
442,3.2343
443,3.1266
444,3.1361
445,3.0956
446,3.0639
447,3.058
448,2.9484
449,2.9965
450,3.2157
451,2.9032
452,2.889
453,3.2167
454,3.0581
455,3.1287
456,3.0904
457,2.9382
458,3.0631
459,2.9877
460,3.0266
461,3.0098
462,3.0582
463,3.1972
464,3.0986
465,3.0349
466,3.0936
467,2.889
468,3.1115
469,2.9968
470,2.8899
471,3.2476
472,2.9405
473,3.231
474,3.0856
475,2.987
476,3.2022
477,3.1309
478,2.8864
479,3.0774
480,2.9943
481,3.0769
482,3.0883
483,3.1094
484,3.0295
485,3.1676
486,3.0811
487,2.946
488,3.2251
489,3.031
490,3.267
491,2.9444
492,3.2543
493,3.0457
494,2.9176
495,3.1635
496,2.9106
497,3.1074
498,3.035
499,3.1273
500,3.0817
501,3.1137
502,3.0156
503,2.9758
504,3.1399
505,2.9484
506,3.013
507,3.2225
508,3.0419
509,3.0255
510,3.1517
511,2.9957
512,2.9835
513,3.1976
514,3.0257
515,3.0914
516,3.139
517,3.037
518,3.2237
519,3.0987
520,2.9817
521,2.9869
522,3.3075
523,2.9934
524,3.0111
525,3.155
526,2.9652
527,2.9659
528,3.2478
529,3.0137
530,2.9282
531,3.2666
532,2.9812
533,3.5779
534,3.1253
535,2.9137
536,3.2586
537,3.0032
538,2.9708
539,3.1864
540,3.2282
541,3.1763
542,3.204
543,2.9897
544,2.9195
545,3.2107
546,3.0381
547,3.0213
548,3.2499
549,3.0348
550,2.9572
551,3.1758
552,3.0309
553,3.1091
554,3.1872
555,3.2748
556,2.9198
557,3.1175
558,3.038
559,3.0316
560,2.9653
561,3.1012
562,3.0961
563,3.0755
564,2.9012
565,3.1755
566,3.2218
567,3.0662
568,3.1248
569,3.0799
570,3.0799
571,3.1059
572,3.001
573,2.9675
574,3.1179
575,3.114
576,2.9509
577,3.1857
578,2.9944
579,3.117
580,2.996
581,3.2617
582,3.1615
583,2.9644
584,3.0129
585,3.0337
586,3.007
587,2.9445
588,3.073
589,3.0453
590,3.0632
591,3.0489
592,2.9785
593,2.8565
594,3.1496
595,2.8879
596,2.9447
597,3.0003
598,2.9361
599,3.1304
600,3.0136
601,2.9604
602,3.2401
603,3.0621
604,2.9138
605,3.1875
606,3.0925
607,2.8969
608,3.1214
609,3.0263
610,3.0816
611,2.9245
612,3.0568
613,3.2063
614,2.9461
615,3.232
616,3.0746
617,3.1511
618,3.0388
619,3.1886
620,3.0887
621,3.2169
622,2.9915
623,3.2005
624,3.0788
625,3.1291
626,2.9559
627,3.3009
628,2.9607
629,2.9973
630,3.2281
631,3.1159
632,2.9993
633,3.2703
634,3.1279
635,2.9492
636,3.1483
637,2.956
638,3.1776
639,2.9391
640,3.112
641,3.0951
642,2.8895
643,3.2309
644,3.2119
645,3.3387
646,3.1942
647,2.9072
648,3.0748
649,2.9665
650,3.246
651,3.1013
652,2.9977
653,3.1595
654,3.0805
655,3.1923
656,3.0383
657,3.0803
658,3.1493
659,2.9737
660,3.132
661,2.8857
662,3.0392
663,3.1286
664,3.0569
665,3.0988
666,3.1056
667,3.0495
668,3.0229
669,3.071
670,3.0503
671,2.9607
672,3.1283
673,2.8762
674,2.9472
675,3.1316
676,3.1031
677,3.182
678,3.0874
679,3.0375
680,3.0001
681,3.2055
682,2.9767
683,3.0422
684,3.1825
685,3.0149
686,3.2331
687,3.0177
688,3.1692
689,2.9021
690,3.1034
691,3.0059
692,3.0819
693,3.0535
694,3.1457
695,2.8635
696,3.0737
697,3.1958
698,3.0524
699,3.1074
700,2.9555
701,2.9812
702,3.2656
703,3.1622
704,2.9321
705,3.2481
706,2.9568
707,2.9956
708,3.1117
709,3.0708
710,2.9328
711,3.1474
712,3.143
713,3.0307
714,3.0756
715,2.9352
716,2.9594
717,3.1372
718,3.1784
719,3.3814
720,3.1098
721,2.9442
722,3.2035
723,2.9238
724,2.9319
725,3.1134
726,2.9871
727,3.0671
728,3.0686
729,3.0773
730,2.9361
731,2.8336
732,3.2233
733,2.9203
734,3.0025
735,3.1658
736,2.9431
737,2.9613
738,3.1615
739,3.0452
740,3.2073
741,3.0914
742,3.211
743,3.0027
744,3.013
745,3.2874
746,3.1199
747,3.0731
748,3.0485
749,2.8774
750,3.0967
751,2.9151
752,3.1497
753,3.2137
754,2.911
755,3.0382
756,3.2077
757,3.0186
758,3.0401
759,3.2521
760,2.9912
761,3.0753
762,3.2213
763,3.04
764,2.8631
765,3.1616
766,3.1111
767,3.0742
768,3.1008
769,3.0429
770,3.1062
771,3.3317
772,3.0877
773,3.0718
774,3.1823
775,3.0346
776,3.0162
777,3.1604
778,2.9699
779,3.0813
780,3.18
781,3.0312
782,2.9097
783,3.1204
784,3.0017
785,3.1383
786,3.0202
787,3.4552
788,3.211
789,3.1735
790,3.0683
791,3.1796
792,3.1269
793,3.6217
794,3.1062
795,3.1405
796,2.9253
797,3.0179
798,3.251
799,2.994
800,2.9288
801,3.2231
802,3.0235
803,2.964
804,3.1402
805,3.0437
806,3.0448
807,3.0367
808,2.9193
809,2.9845
810,3.1309
811,2.9302
812,2.9144
813,3.2017
814,3.1121
815,3.2035
816,3.0391
817,2.8882
818,3.1237
819,2.9596
820,2.8888
821,3.2899
822,2.8893
823,3.1507
824,3.0898
825,2.9124
826,3.1327
827,3.06
828,3.0783
829,3.0432
830,2.9824
831,3.2594
832,3.1522
833,2.9981
834,3.215
835,2.9192
836,2.9869
837,3.1999
838,3.0415
839,2.8689
840,3.1776
