frame_number,processing_time
1,16.811
2,16.3355
4,16.2957
5,16.2018
6,16.1777
7,16.2813
8,16.4918
9,16.4451
11,16.4019
12,16.227
13,16.2564
14,16.1619
15,16.4427
16,16.2691
18,16.3274
19,16.2174
20,16.2225
21,16.2224
22,16.2283
23,16.2666
25,16.2926
26,16.3095
27,16.2557
28,16.2299
29,16.2737
30,16.3072
32,16.285
34,16.3618
35,16.3161
36,16.9505
37,16.3391
39,16.2722
41,16.336
42,16.3198
43,16.2717
44,16.337
45,16.3212
47,16.2955
49,16.3038
50,16.236
51,16.9555
52,16.4218
54,16.2929
55,16.1652
56,16.3167
57,16.1789
58,16.2847
59,16.2008
60,16.3492
62,16.2679
63,16.2646
64,16.2455
65,16.2733
66,16.6767
67,16.3076
69,16.2917
70,16.4079
71,16.2922
73,16.2732
74,16.9103
75,16.3883
77,16.2863
78,16.2586
79,16.3175
80,16.2113
81,16.295
82,16.6356
83,16.3189
85,16.2763
86,16.2757
87,16.2143
89,16.2946
90,16.3664
91,16.3525
93,16.3838
95,16.3173
96,16.2568
97,16.5549
98,16.3176
100,16.2887
101,16.2967
102,16.2231
104,16.2764
105,16.5026
106,16.2859
108,16.3241
110,16.3178
111,16.315
112,16.2006
113,17.0318
114,16.312
116,16.2913
117,16.3355
118,16.1765
119,16.2852
120,16.2062
121,16.902
122,16.2575
124,16.2614
125,16.2133
126,16.2306
127,16.2137
128,16.2874
129,16.7054
130,16.3604
132,16.4741
133,16.345
135,16.3279
136,16.4042
137,16.7845
138,16.4481
140,16.3377
142,16.341
144,16.3282
146,16.3271
147,16.3046
149,16.3635
151,16.316
153,16.3282
154,16.8328
155,16.3169
157,16.3862
158,16.2749
159,16.3762
160,16.2431
162,16.3741
163,16.2574
164,16.3871
166,16.2924
167,16.4057
168,16.3052
170,16.3188
172,16.3498
174,16.4694
175,16.3341
176,16.3124
178,16.2642
179,16.2689
180,16.6343
181,16.3541
183,16.3901
184,16.2587
185,16.277
187,16.2777
188,16.3258
189,16.7271
190,16.3515
192,16.2854
193,16.3237
194,16.2048
196,16.4478
197,16.322
199,16.3133
201,16.3189
202,16.2019
203,16.2734
204,16.2676
206,16.2881
208,16.3627
210,16.3145
211,16.219
212,16.2981
213,16.215
214,16.2244
215,16.236
216,17.3558
217,16.2854
219,16.3241
221,16.3196
222,16.326
223,16.2232
224,16.2818
225,17.0283
226,16.3408
228,16.3973
229,16.2017
230,16.2855
231,16.237
233,16.3083
235,16.5134
237,16.3177
238,16.261
239,16.2204
240,16.2812
241,16.2021
242,16.2613
243,16.2289
245,16.3793
247,16.2957
248,16.2688
249,16.2111
250,16.2612
251,16.1798
252,16.2075
253,16.5768
254,16.2462
256,16.5319
257,16.3313
259,16.4237
261,16.4324
262,16.3143
263,16.2638
264,16.3569
266,16.2823
267,16.2965
268,16.2264
269,16.2549
270,16.2527
272,16.889
273,16.3083
275,16.3139
277,16.2923
279,16.3616
280,16.2986
281,16.2288
282,16.2443
283,16.2555
285,16.3663
286,16.2844
287,16.2635
288,16.2855
289,16.2951
291,16.8243
292,16.2592
294,16.3004
295,16.3222
296,16.2417
298,16.3002
299,16.2161
300,16.2082
301,16.8129
302,16.2914
304,16.2728
305,16.2751
306,16.2021
307,16.3445
309,16.3049
310,16.211
