frame_number,processing_time
1,0.636
2,0.6169
3,0.8572
4,0.6615
5,0.6613
6,0.6185
7,0.667
8,0.631
9,0.6759
10,0.6744
11,0.6241
12,0.6365
13,0.7323
14,0.6261
15,0.6086
16,0.6248
17,0.655
18,0.5922
19,0.6104
20,0.6319
21,0.6269
22,0.6211
23,0.6717
24,0.6114
25,0.6095
26,0.6982
27,0.6513
28,0.6309
29,0.607
30,0.6114
31,0.6092
32,0.6184
33,0.6405
34,0.5988
35,0.6217
36,0.6189
37,0.6662
38,0.6226
39,0.631
40,0.5857
41,0.6369
42,0.6014
43,0.6371
44,0.6311
45,0.674
46,0.74
47,0.6006
48,0.6752
49,0.6404
50,0.6582
51,1.0447
52,0.6544
53,0.7079
54,0.5873
55,0.6743
56,0.7001
57,0.6309
58,0.5955
59,0.6054
60,1.0177
61,0.6875
62,0.7635
63,0.6584
64,0.6969
65,0.6184
66,0.6838
67,0.6771
68,0.6138
69,0.6339
70,0.6483
71,0.5868
72,0.7425
73,0.6161
74,0.625
75,0.6036
76,0.633
77,0.6667
78,0.5979
79,0.6213
80,0.6746
81,0.6161
82,0.6201
83,0.6188
84,0.6262
85,0.6385
86,0.6265
87,0.6163
88,0.6754
89,0.7102
90,0.6174
91,0.6694
92,0.6535
93,0.6397
94,0.6519
95,0.6001
96,0.6692
97,0.6334
98,0.6241
99,0.6297
100,0.653
101,0.6274
102,0.6052
103,0.6291
104,0.6438
105,0.6755
106,0.6951
107,0.6215
108,0.6071
109,0.6391
110,0.6493
111,0.6158
112,0.6216
113,0.6027
114,0.6347
115,1.8813
116,0.5857
117,0.6117
118,0.6048
119,0.6141
120,0.6373
121,0.6072
122,0.6336
123,0.6486
124,0.6445
125,0.6137
126,0.6289
127,0.6828
128,0.7724
129,0.6328
130,0.5769
131,0.6118
132,0.6432
133,0.6039
134,0.6449
135,0.6287
136,0.6065
137,0.6289
138,0.6885
139,0.5845
140,0.6298
141,0.6309
142,0.6182
143,0.7224
144,0.6597
145,0.641
146,0.6664
147,0.5887
148,0.621
149,0.7311
150,0.6062
151,0.6508
152,0.6328
153,0.6643
154,0.5955
155,0.6901
156,0.606
157,0.645
158,0.6211
159,0.6227
160,0.7048
161,0.6314
162,0.7108
163,0.6043
164,0.6895
165,0.604
166,0.6449
167,0.6117
168,0.6297
169,0.6016
170,0.6216
171,0.6352
172,0.5945
173,0.605
174,0.6902
175,0.6016
176,0.5978
177,1.0313
178,0.6152
179,0.6418
180,0.6091
181,0.6185
182,0.586
183,0.6826
184,0.6221
185,0.6803
186,0.6644
187,0.6232
188,0.6969
189,0.581
190,0.6288
191,0.6325
192,0.6414
193,0.6048
194,0.6628
195,0.6163
196,0.6444
197,0.5853
198,0.8754
199,0.6099
200,0.613
201,0.613
202,0.6172
203,0.6423
204,0.6351
205,0.6052
206,0.5833
207,0.6109
208,0.6383
209,0.67
210,0.6476
211,0.6045
212,0.6853
213,0.6155
214,0.6573
215,0.6525
216,0.6228
217,0.659
218,0.723
219,0.6198
220,0.7966
221,0.642
222,0.6127
223,0.6812
224,0.5988
225,0.6412
226,0.658
227,0.6223
228,0.6755
229,0.6117
230,0.5969
231,1.2642
232,0.6824
233,0.6135
234,0.6153
235,0.6804
236,0.6283
237,0.6622
238,0.6172
239,0.6147
240,0.6516
241,0.6127
242,0.62
243,0.6161
244,0.6228
245,0.6032
246,0.6856
247,0.6471
248,0.6123
249,0.662
250,0.626
251,0.609
252,0.62
253,0.641
254,0.6089
255,0.6406
256,0.6193
257,0.5998
258,0.6367
259,0.6698
260,0.611
261,0.6918
262,0.6433
263,0.5959
264,0.678
265,0.6246
266,0.5919
267,0.6514
268,0.6997
269,0.6515
270,0.6669
271,0.6083
272,0.6275
273,0.6084
274,0.6039
275,0.6506
276,0.6241
277,0.6017
278,0.6214
279,0.713
280,0.611
281,0.6452
282,0.623
283,0.594
284,0.6658
285,0.6119
286,1.0788
287,0.6576
288,0.6108
289,0.6424
290,0.6224
291,0.6373
292,0.63
293,0.5986
294,0.6311
295,0.6061
296,0.6364
297,0.6452
298,0.6085
299,0.6245
300,0.6485
301,0.62
302,0.6273
303,0.5999
304,0.6737
305,0.6038
306,0.7
307,0.6325
308,0.614
309,0.5934
310,0.6762
311,0.6
312,0.5962
313,0.6115
314,0.677
315,0.6388
316,0.6106
317,0.685
318,0.9264
319,0.6565
320,0.6579
321,0.6117
322,0.618
323,0.5964
324,0.626
325,0.6266
326,0.6335
327,0.5993
328,0.6133
329,0.6321
330,0.6132
331,0.6518
332,0.6052
333,0.6648
334,0.6302
335,0.597
336,0.8343
337,0.7227
338,0.6473
339,0.6118
340,1.494
341,0.6072
342,0.5674
343,0.6336
344,0.6412
345,0.6287
346,0.6515
347,0.6653
348,0.5691
349,0.6271
350,0.6813
351,0.64
352,0.6727
353,0.7502
354,0.6213
355,0.684
356,0.5989
357,0.6742
358,0.6526
359,0.5942
360,0.6524
361,0.7233
362,0.6132
363,1.1978
364,0.6355
365,0.6404
366,0.6505
367,0.642
368,0.5859
369,0.6662
370,0.7065
371,0.6601
372,0.6322
373,0.61
