frame_number,processing_time
1,0.847
2,0.4109
3,16.2653
4,16.4291
5,16.2667
7,16.3651
9,16.3146
10,16.2602
11,16.2743
12,16.2917
13,16.2768
14,16.315
15,16.2752
16,16.3861
17,16.2661
18,16.4612
19,16.3012
20,16.3842
21,16.3214
22,16.5398
23,16.2868
25,16.3687
26,16.3506
27,16.2585
29,16.3524
31,16.3482
32,16.3934
33,16.2984
34,16.2606
35,16.5403
36,16.3466
38,16.4018
40,16.4016
42,16.3799
43,16.3827
44,16.2869
45,16.2968
46,16.4085
47,16.3595
49,16.384
50,16.3605
51,16.2972
53,16.3205
54,16.2699
55,16.2323
56,16.2728
57,16.3109
58,16.3409
60,16.352
61,16.4865
62,16.2783
63,16.3308
64,16.2778
65,16.3481
66,16.3308
67,16.3665
68,16.4296
69,16.2885
70,16.2958
72,16.3691
73,16.248
74,16.3954
75,16.2958
77,16.3797
79,16.3718
80,16.2912
81,16.2543
82,16.2647
83,16.2501
85,16.4051
86,16.2744
88,16.4546
90,16.3265
92,16.3585
93,16.2701
94,16.2835
95,16.2504
96,16.3419
97,16.2192
98,16.3104
99,16.244
100,16.279
101,16.3023
102,16.2836
103,16.3151
104,16.2606
105,16.3372
106,16.276
107,16.3013
108,16.2938
109,16.2231
110,16.3123
111,16.2375
113,16.3498
114,16.2433
115,16.4283
116,16.3223
118,16.3467
120,16.3201
121,16.3659
122,16.2731
123,16.3195
124,16.2794
125,16.2925
126,16.2677
127,16.2689
128,16.2699
129,16.2609
130,16.3247
131,16.2777
132,16.3078
133,16.3169
135,16.712
136,16.3358
138,16.3271
139,16.3174
140,16.2749
141,16.3071
142,16.2609
143,16.2677
144,16.2629
145,16.3474
146,16.2987
148,16.3997
149,16.2911
150,16.3719
151,16.2968
152,16.3821
153,16.2626
154,16.3826
155,16.2806
156,16.3221
157,16.3236
158,16.3103
159,16.6949
160,16.3432
162,16.3284
163,16.2905
164,16.9326
166,16.4115
167,16.2244
168,16.9829
169,16.2808
171,16.3879
172,16.2629
173,16.3199
174,16.2376
175,16.3756
176,16.2622
177,16.3857
178,16.2609
180,16.3484
181,16.3942
182,16.3099
184,16.3761
185,16.3154
186,16.2595
187,16.369
188,16.2917
190,16.3533
191,16.297
192,16.3142
194,16.4585
195,16.2962
197,16.3795
199,16.3961
201,16.3432
202,16.3683
203,16.2991
204,16.2887
205,16.4949
206,16.3234
208,16.3322
209,16.5092
210,16.257
211,17.1297
212,16.2374
