frame_number,processing_time
1,16.3825
3,16.3292
4,16.4918
5,16.2786
7,16.3881
8,16.2694
9,16.2936
10,16.3854
12,16.393
13,16.278
15,16.3593
16,16.3005
17,16.2717
19,16.4488
21,16.4295
23,16.4663
24,16.4238
25,16.3023
26,16.3389
27,16.329
28,16.3591
30,16.3707
32,16.4058
33,16.3626
34,16.377
36,16.9231
37,16.5945
39,16.4048
41,16.4832
42,16.2897
43,16.3493
44,16.3731
46,16.3944
47,16.4336
49,16.3534
50,16.2853
51,16.2486
52,16.3219
53,16.3776
54,16.2515
56,16.4575
58,16.3365
59,16.2546
61,16.4737
62,16.2992
63,16.276
64,16.3088
65,17.1342
66,16.4491
68,16.3718
70,16.4751
71,16.281
72,16.3472
73,16.2885
74,16.2864
75,17.4834
76,16.3673
78,16.3719
79,16.4027
80,16.2611
81,16.3194
82,16.2716
83,16.3329
84,16.2959
86,16.4525
88,16.397
89,16.3688
90,16.2347
91,16.3988
92,16.2677
93,16.2586
94,16.2332
95,17.0675
96,16.5155
98,16.3948
100,16.3819
102,16.3241
103,16.2999
104,16.2257
106,16.5233
108,16.3401
110,16.3009
111,16.2744
112,16.2274
113,16.2706
114,16.2861
115,17.177
116,16.4159
118,16.37
120,16.3383
122,16.3535
123,16.2982
124,16.3163
125,16.4053
126,16.3474
127,16.3359
129,16.3474
131,16.3485
132,16.2397
133,16.2195
134,16.2749
135,16.246
136,16.7558
137,16.5514
139,16.322
140,16.2408
141,16.3167
142,16.2461
143,16.2408
144,16.2824
145,16.3415
146,16.2599
147,16.3311
148,16.3295
150,16.3197
151,16.2768
152,16.26
153,16.3209
154,16.2368
155,16.2826
156,16.2158
157,16.9368
158,16.4792
160,16.3757
161,16.2541
162,16.2405
163,16.2744
165,16.3399
166,16.3171
167,16.2804
168,17.0349
169,16.3708
171,16.3619
173,16.3367
175,16.3475
176,16.2476
177,16.239
178,16.3462
179,16.2977
180,16.4428
182,16.3426
183,16.3229
184,16.2785
186,16.3766
187,16.2951
188,16.2874
189,16.4717
190,16.5455
192,16.4617
193,16.4053
194,16.3614
195,16.4001
197,16.4214
198,16.3908
199,16.3418
200,17.1182
201,16.4637
203,16.3743
204,16.2794
205,16.2766
206,16.257
207,16.4505
208,16.2772
210,16.3632
212,16.394
214,16.3993
216,16.3498
217,16.3766
218,16.4608
219,16.2994
221,16.3745
223,16.4812
225,16.3746
227,16.3548
229,16.4205
230,16.3838
232,16.3589
234,16.4064
236,16.4163
238,16.4238
239,16.3713
240,16.3676
242,16.4559
244,17.3248
245,16.3581
247,16.3311
249,16.3499
250,16.3301
251,16.2736
253,16.3464
254,16.3179
255,16.6681
256,16.3238
258,16.4257
260,16.3263
261,16.2592
262,16.2876
264,16.4217
265,16.3679
266,16.9155
267,16.4731
269,16.3553
270,16.3517
271,16.2541
272,16.2737
273,16.2724
274,16.3659
275,16.2869
277,16.3623
278,16.3707
279,16.3644
281,16.3708
282,16.2255
283,16.3498
284,16.3037
286,16.3643
288,16.3475
289,16.8376
290,16.4129
292,16.3847
294,16.3427
295,16.3561
296,16.2747
298,16.3557
299,16.2683
300,16.2468
302,16.4136
304,16.3513
305,16.2484
306,16.2442
307,16.304
308,16.2867
309,16.2884
310,16.3715
311,16.3047
313,16.4685
315,16.3637
317,16.3354
319,16.3921
320,16.2902
321,16.3387
323,16.3683
325,16.3921
327,16.3659
328,16.3538
329,16.3381
331,16.3407
332,16.2851
333,16.2494
334,16.3234
335,16.6447
336,16.3867
338,16.3565
340,16.5171
341,16.3328
343,16.3295
345,16.4048
346,16.4001
347,16.7136
348,16.5692
350,16.3107
351,16.3701
352,16.2771
354,16.3619
355,16.2906
356,16.3313
357,16.2724
358,16.3253
359,16.4438
360,16.3607
362,16.3252
363,16.3573
364,16.2428
365,16.2854
366,16.3198
367,16.3176
368,16.3772
369,16.2811
370,16.4499
371,16.5302
373,16.3395
374,16.3468
375,16.3252
376,16.3699
377,16.3094
379,16.3318
380,16.3337
381,16.2397
382,16.9005
383,16.392
385,16.3494
387,16.4467
388,16.3078
389,16.2772
391,16.3403
392,16.2909
394,16.7834
395,16.3865
397,16.346
398,16.3466
399,16.2915
400,16.5267
401,16.4594
403,16.4335
405,16.3803
406,17.1596
407,16.3482
409,16.4358
410,16.3057
411,16.4369
412,16.3341
414,16.3797
415,16.3569
416,16.2963
418,16.9326
419,16.3667
421,16.3616
423,16.3592
424,16.3462
425,16.2977
427,16.4052
428,16.3547
429,16.4131
431,16.426
433,16.4243
434,16.3123
435,16.3036
437,16.3591
438,16.2374
439,16.3122
440,16.2441
441,16.2581
442,16.6887
443,16.3434
445,16.3341
446,16.2328
447,16.2829
448,16.2413
449,16.2713
450,16.2225
451,16.2412
452,16.232
453,16.2091
454,16.8323
455,16.3781
457,16.3822
459,16.34
460,16.3536
461,16.2759
462,16.3028
463,16.4146
464,16.3496
466,16.7707
467,16.4583
469,16.3596
471,16.3715
472,16.3061
473,16.2747
475,16.4217
476,16.3723
477,16.3104
478,16.7132
479,16.4584
481,16.3272
482,16.2914
483,16.2465
484,16.2368
485,16.2232
486,16.2338
487,16.2486
488,16.2619
489,16.2311
490,17.053
491,16.4425
493,16.365
494,16.3114
495,16.2941
496,16.3463
497,16.2468
498,16.3096
499,16.2615
500,16.299
501,16.2179
502,16.223
503,16.6087
504,16.3986
506,16.3274
507,16.3055
508,16.2092
509,16.3272
510,16.2576
512,16.3421
513,16.258
514,16.2948
516,16.3667
518,16.3389
519,16.2841
520,16.3006
522,16.3354
523,16.4339
524,16.3254
526,16.3482
527,16.6242
528,16.3725
530,16.3675
532,16.3465
533,16.3094
534,16.2635
535,16.2709
536,16.2873
538,16.3515
540,16.4592
542,16.372
544,16.3489
546,16.3408
548,16.3529
549,16.2527
550,16.2593
551,16.5576
552,16.3
554,16.3327
556,16.3269
558,16.3419
559,16.2951
560,16.2454
561,16.2226
562,16.3453
563,16.2469
564,16.41
565,16.353
567,16.3472
568,16.2814
569,16.2988
570,16.2802
571,16.2638
572,16.39
573,16.2662
574,16.2642
575,16.2475
576,16.5037
577,16.3626
579,16.328
580,16.2826
581,16.2728
582,16.1915
583,16.6098
584,16.2925
586,16.3198
587,16.2096
588,16.5592
589,16.2985
591,16.3305
592,16.3445
593,16.2629
594,16.3685
595,16.3148
596,16.3259
597,16.3221
598,16.2158
599,16.4256
600,16.9693
601,16.4184
603,16.3245
604,16.3114
605,16.2032
606,16.2857
607,16.3008
609,16.3469
610,16.3546
611,16.2826
612,17.0232
613,16.3333
615,16.3432
616,16.3059
617,16.2759
618,16.3882
619,16.2137
620,16.3031
621,16.2463
622,16.2666
623,16.2382
625,16.3976
626,16.3025
627,16.4434
629,16.3379
630,16.2682
631,16.2529
632,16.2973
633,16.35
634,16.2538
635,16.2702
636,16.242
637,16.7331
638,16.3515
640,16.3378
642,16.3653
643,16.4358
644,16.3292
646,16.3903
647,16.4262
648,16.277
649,16.2787
650,16.5969
651,16.4093
653,16.3833
655,16.4311
656,16.2761
657,16.2765
658,16.3004
659,16.2599
660,16.2725
661,16.2753
662,16.5734
663,16.4463
665,16.371
667,16.4094
668,16.3189
669,16.2685
670,16.295
671,16.2664
672,16.2899
673,16.2701
674,16.2835
675,16.2996
676,16.3931
678,16.3595
679,16.3469
680,16.2765
681,16.4063
682,16.2888
683,16.2735
684,16.242
686,16.3913
688,16.3744
690,16.3846
691,16.208
692,16.4165
693,16.3003
694,16.3192
695,16.2655
696,16.2976
697,16.3224
698,16.2368
700,16.414
701,16.3953
703,16.3257
705,16.3489
706,16.4567
707,16.3553
709,16.3337
710,16.337
711,16.2376
713,16.5798
715,16.3552
716,16.2424
717,16.2414
718,16.2242
719,16.217
720,16.2196
721,16.3391
722,16.2399
723,16.2569
724,16.2759
726,16.448
728,16.3612
730,16.4585
732,16.366
733,16.3521
734,16.2741
735,16.3455
736,16.3003
738,16.3918
740,16.342
741,16.3913
742,16.2983
743,16.2945
744,16.3024
746,16.3557
748,16.3331
749,16.3348
750,16.7853
751,16.4327
753,16.3569
754,16.271
755,16.2978
756,16.3482
757,16.3298
758,16.3796
759,16.2638
760,16.3111
761,16.2265
762,16.288
763,16.2757
764,16.4367
766,16.4347
767,16.2599
769,16.3005
770,16.2872
771,16.2527
772,16.2653
773,16.2327
774,16.2553
775,16.6693
776,16.4181
778,16.3521
780,16.3218
781,16.3645
782,16.2716
783,16.2211
784,16.2505
785,16.2315
786,16.2275
787,16.21
788,16.6348
789,16.4111
791,16.3351
792,16.2909
793,16.3583
794,16.2688
796,16.3674
798,16.3234
799,16.3485
800,17.0033
801,16.3899
803,16.3698
804,16.397
805,16.2737
807,16.34
809,16.3292
810,16.2372
811,16.2597
812,16.2557
813,17.4195
814,16.438
816,16.4072
817,16.2717
818,16.2876
819,16.2686
821,16.3143
823,16.3991
824,16.4359
825,16.2399
826,16.7787
827,16.4328
829,16.3978
830,16.2779
831,16.3464
832,16.2738
833,16.3139
834,16.2804
836,16.3407
837,16.3494
838,16.6745
839,16.3709
841,16.4267
842,16.2965
843,16.2283
844,16.3483
845,16.2651
847,16.3576
848,16.2378
849,16.2334
850,16.2864
851,16.2586
852,16.3852
854,16.327
855,16.3601
856,16.2312
857,16.2861
858,16.2414
859,16.2698
860,16.2469
861,16.304
862,16.2401
863,17.0539
864,16.5041
866,16.3417
867,16.3345
868,16.2446
869,16.2593
870,16.2557
871,16.2561
872,16.328
874,16.3549
875,16.2765
876,16.6649
877,16.4102
879,16.3425
880,16.3165
881,16.2697
882,16.2622
883,16.2417
884,16.2386
885,16.2672
886,16.2867
887,16.2773
888,16.3872
889,16.3325
890,16.3349
892,16.3393
894,16.3738
895,16.3283
896,16.2839
898,16.3417
899,16.261
900,16.2516
901,16.8923
902,16.418
904,16.3168
906,16.3806
908,16.3601
909,16.3432
910,16.2828
912,16.416
913,16.2197
914,16.6372
915,16.3458
917,16.3479
919,16.4011
920,16.3294
921,16.2555
922,16.2996
923,16.2775
925,16.396
926,16.951
927,16.4878
929,16.3518
931,16.4433
932,16.3229
933,16.292
934,16.331
935,16.274
937,16.3708
938,16.2974
939,16.7626
940,16.3896
942,16.3236
943,16.352
944,16.2544
945,16.3146
946,16.283
947,16.3762
948,16.3304
949,16.2917
951,16.3173
952,16.6966
953,16.3993
955,16.3448
956,16.2572
957,16.2633
958,16.2519
960,16.3505
961,16.2226
962,16.2874
963,16.276
964,16.7562
965,16.3482
967,16.3705
968,16.2623
969,16.2597
970,16.3452
971,16.3304
972,16.2188
973,16.3705
974,16.2843
976,16.3224
977,16.3444
978,16.3718
980,16.3554
982,16.375
983,16.2598
984,16.2182
985,16.3173
986,16.2145
987,16.2663
988,16.2422
989,16.9955
990,16.418
992,16.349
993,16.2506
994,16.2074
995,16.2594
996,16.2202
998,16.3354
999,16.3134
1000,16.2874
1001,16.213
1002,16.8107
1003,16.3718
1005,16.3318
1006,16.3358
1007,16.3486
1008,16.392
1009,16.2788
1010,16.2581
1012,16.3812
1013,16.2661
1014,16.336
1015,16.2803
1016,16.4459
1018,16.3217
1019,16.2787
1020,16.3144
1021,16.2159
1022,16.2868
1023,16.3098
1024,16.3246
1025,16.3266
1026,16.2918
1027,16.8638
1028,16.4213
1030,16.4242
1031,16.2433
1032,16.3175
1033,16.2907
1034,16.2269
1035,16.4126
1036,16.285
1037,16.313
1038,16.2806
1039,16.4909
1040,16.264
1041,16.3233
1043,16.3638
1045,16.3745
1046,16.2485
1047,16.2449
1049,16.3473
1051,16.3773
1052,17.0267
1053,16.3891
1055,16.3303
1057,16.3546
1058,16.3008
1059,16.2548
1060,16.2965
1061,16.2988
1062,16.2165
1063,16.2454
1064,16.2303
1066,16.6004
1068,16.3285
1069,16.3139
1070,16.376
1071,16.3266
1072,16.2194
1074,16.437
1075,16.2934
1076,16.3649
1077,16.2762
1078,16.551
1079,16.3811
1081,16.4559
1082,16.2997
1083,16.3688
1085,16.3733
1086,16.3705
1087,16.3132
1088,16.2912
1089,16.4102
1090,16.8436
1091,16.427
1093,16.3933
1094,16.3555
1095,16.3059
1097,16.3713
1099,16.3208
1101,16.353
1102,16.3901
1103,16.3256
1104,16.3136
1106,16.445
1107,16.2648
1108,16.2882
1109,16.2996
1110,16.3633
1111,16.2873
1112,16.3148
1113,16.2625
1114,16.2435
1115,16.4967
1116,16.5394
1118,16.3466
1119,16.2445
1120,16.2845
1121,16.3439
1122,16.2773
1123,16.2944
1124,16.2286
1125,16.3869
1126,16.2154
1127,16.3202
1128,16.6616
1129,16.4331
1131,16.3525
1132,16.607
1133,16.3749
1135,16.468
1137,16.4661
1138,16.28
1139,16.377
1140,16.3161
1141,16.8507
1142,16.3355
1144,16.3941
1146,16.4008
1147,16.3603
1148,16.3386
1150,16.4497
1151,16.2509
1152,16.3932
1153,16.723
1154,16.5515
1156,16.3737
1157,16.2584
1158,16.2558
1159,16.3674
1160,16.2673
1162,16.3507
1163,16.2678
1164,16.2307
1165,16.2322
1166,16.6777
1167,16.3486
1169,16.3242
1170,16.282
1171,16.2705
1172,16.2781
1173,16.3076
1174,16.3767
1175,16.2489
1176,16.2436
1177,16.2535
1178,16.4475
1179,16.5197
1181,16.3285
1183,16.3356
1184,16.3067
1185,16.2555
1187,16.3269
1189,16.3467
1191,16.7568
1192,16.2957
1194,16.5187
1195,16.3082
1197,16.4005
1199,16.4181
1200,16.2704
1201,16.3423
1203,16.4135
1204,16.5482
1205,16.3991
1207,16.3836
1209,16.3581
1210,16.2407
1211,16.2941
1212,16.382
1214,16.3682
1215,16.3166
1216,16.9755
1217,16.4763
1219,16.3986
1221,16.4112
1222,16.286
1223,16.3072
1224,16.3304
1225,16.3008
1226,16.2667
1227,16.4002
1228,16.2915
1229,16.5882
1230,16.3803
1232,16.397
1233,16.3083
1234,16.2812
1235,16.3988
1236,16.3059
1237,16.3206
1238,16.3134
1239,16.2696
1240,16.2236
1241,16.9438
1242,16.3277
1244,16.3663
1245,16.3697
1246,16.2961
1248,16.3691
1249,16.3184
1250,16.3463
1252,16.419
1253,16.2671
1254,16.6434
1255,16.593
1257,16.3277
1258,16.3535
1259,16.2392
1260,16.3381
1261,16.2951
1262,16.3342
1263,16.2781
1265,16.3713
1267,16.4235
1268,16.3819
1270,16.374
1271,16.2787
1272,16.3189
1273,16.3111
1274,16.3519
1275,16.2551
1277,16.3434
1278,16.3259
1279,16.7307
1280,16.6231
1282,16.336
1284,16.4082
1285,16.3908
1286,16.2605
1287,16.3444
1288,16.3025
1289,16.3533
1290,16.3495
1291,16.3932
1292,16.327
1293,16.4143
1295,16.3687
1297,16.3768
1298,16.3499
1299,16.312
1300,16.2915
1301,16.2732
1302,16.4019
1303,16.2674
1305,16.4829
