frame_number,processing_time
1,0.7793
2,1.6054
3,0.813
4,0.8232
5,0.799
6,0.7953
7,0.7784
8,0.7619
9,0.7678
10,0.7703
11,0.8104
12,0.7623
13,0.7682
14,0.8386
15,0.7971
16,0.7438
17,0.8062
18,0.8436
19,0.8201
20,0.7662
21,0.7707
22,0.7587
23,0.7568
24,0.7892
25,1.3038
26,0.8138
27,0.7842
28,0.771
29,0.7814
30,0.82
31,0.7458
32,0.796
33,0.8254
34,0.7413
35,0.8009
36,0.7598
37,1.6755
38,0.8376
39,0.7574
40,0.7811
41,0.7705
42,0.8077
43,0.7508
44,0.7514
45,0.7403
46,0.7908
47,0.7668
48,0.7719
49,1.5546
50,0.8436
51,0.8341
52,0.8286
53,0.7887
54,0.7793
55,0.8234
56,0.7747
57,0.894
58,0.7762
59,0.7804
60,0.8146
61,1.4581
62,0.7946
63,0.7975
64,0.8329
65,0.7828
66,0.8147
67,0.8401
68,0.7804
69,0.8423
70,0.8273
71,0.7884
72,0.7796
73,0.758
74,0.7967
75,0.8152
76,0.7424
77,0.8004
78,0.7986
79,0.7501
80,0.7628
81,0.7619
82,0.7791
83,0.7876
84,0.7656
85,0.7855
86,1.4362
87,0.7788
88,0.758
89,0.833
90,0.7455
91,0.7769
92,0.8097
93,0.8259
94,0.7539
95,0.7952
96,0.781
97,0.7659
98,0.8403
99,1.2446
100,0.7514
101,0.7774
102,0.7424
103,0.8036
104,0.7354
105,0.7719
106,0.779
107,0.749
108,0.8386
109,0.7655
110,0.7406
111,0.7552
112,1.5171
113,0.7849
114,0.7684
115,0.7653
116,0.7999
117,0.7729
118,0.7596
119,0.7882
120,0.7741
121,0.7689
122,0.7332
123,0.7825
124,0.7719
125,1.5441
126,0.7685
127,0.7742
128,0.8308
129,0.7709
130,0.7857
131,0.7815
132,0.8132
133,0.8243
134,0.7957
135,0.781
136,0.7883
137,0.7708
138,1.4527
139,0.7957
140,0.7573
141,0.7687
142,0.7796
143,0.7649
144,0.788
145,0.7583
146,0.7607
147,0.7807
148,0.8062
149,0.8286
150,0.7622
151,0.7841
152,0.7716
153,0.7999
154,0.7251
155,0.7902
156,0.7466
157,0.7563
158,0.7696
159,0.7978
160,0.7676
161,0.7927
162,0.7825
163,0.7651
164,0.7488
165,1.3483
166,0.7738
167,0.7628
168,0.7611
169,0.7877
170,0.7852
171,0.7723
172,0.7679
173,0.786
174,0.747
175,0.763
176,0.7701
177,0.7505
178,0.7277
179,0.8787
180,0.8146
181,0.7466
182,0.8031
183,0.7522
184,0.743
185,0.7745
186,0.7281
187,0.7664
188,0.7983
189,0.7651
190,0.7756
191,0.8019
192,1.4949
193,0.8309
194,0.7791
195,0.792
196,0.7423
197,0.8821
198,0.8048
199,0.7867
200,0.8469
201,0.7488
202,0.7502
203,0.7879
204,0.7493
205,0.7571
206,0.8965
207,0.7762
208,0.7382
209,0.7986
210,0.7494
211,0.7437
212,0.8091
213,0.741
214,0.74
215,0.7643
216,0.7703
217,0.7556
218,0.8472
219,0.8049
220,1.1867
221,0.7915
222,0.7513
223,0.785
224,0.77
225,0.751
226,0.7577
227,0.7534
228,0.8154
229,0.7689
230,0.7521
231,0.7725
232,0.7993
233,0.8597
234,1.4123
235,0.806
236,0.8418
237,0.7738
238,0.8347
239,0.8709
240,0.8084
241,0.7777
242,0.8571
243,0.8321
244,0.8743
245,0.871
246,0.7835
247,0.8308
248,0.8999
249,0.7871
250,0.7936
251,0.8964
252,0.8688
253,0.7876
254,0.8494
255,0.8684
256,0.8039
257,0.8114
258,0.7762
259,0.745
260,0.7771
261,0.7984
262,0.7629
263,1.2586
264,0.821
265,0.8091
266,0.8008
267,0.8423
268,0.7986
269,0.8251
270,0.8878
271,0.7747
272,0.8119
273,0.8391
274,0.8429
275,0.8027
276,0.8771
277,0.8648
278,0.8297
279,0.8488
280,0.885
281,0.8264
282,0.8671
283,0.7987
284,0.826
285,0.7756
286,0.8157
287,0.8001
288,0.7939
289,0.8125
290,0.8095
291,0.845
292,1.4232
293,0.8459
294,0.8637
295,0.8388
296,0.8315
297,0.8507
298,0.7993
299,0.8614
300,0.8793
301,0.8059
302,0.8353
303,0.8542
304,0.7977
305,0.8122
306,0.906
307,1.5007
308,0.8078
309,0.8352
310,0.7722
311,0.7713
312,0.7779
313,0.7768
314,0.7706
315,0.7547
316,0.7987
317,0.7873
318,0.7799
319,0.795
320,0.7593
321,0.8228
322,1.4669
323,0.7704
324,0.7944
325,0.8293
326,0.7991
327,0.7912
328,0.8521
329,0.7433
330,0.8308
331,0.8175
332,0.8084
333,0.8408
334,0.8416
335,0.7969
336,0.7847
337,1.552
338,0.843
339,0.8548
340,0.75
341,0.8583
342,0.8092
343,0.7431
344,0.7723
345,0.7994
346,0.9021
347,0.7576
348,0.8366
349,0.8309
350,0.7569
351,0.8831
352,1.231
353,0.8995
354,0.8582
355,0.7555
356,0.8866
357,0.8683
358,0.818
359,0.8041
360,0.7724
361,0.7651
362,0.7481
363,0.8427
364,0.7547
365,0.8382
366,0.8325
367,0.7888
368,0.8084
369,0.8991
370,0.7979
371,0.8697
372,0.8587
373,0.8552
374,0.89
375,0.8581
376,0.7597
377,0.8099
378,0.8782
379,0.8043
380,0.8319
381,0.8354
382,0.7916
383,0.8921
384,0.8769
385,0.7803
386,0.7643
387,0.7935
388,0.8282
389,0.7851
390,0.8329
391,0.8767
392,0.8076
393,0.8534
394,0.858
395,0.8072
396,0.8431
397,1.4129
398,0.8761
399,0.8353
400,0.782
401,0.8966
402,0.7752
403,0.7731
404,0.8172
405,0.8564
406,0.7795
407,0.8317
408,0.832
409,0.7649
410,0.8039
411,0.8175
412,1.7635
413,0.8881
414,0.9007
415,0.7891
416,0.8167
417,0.8912
418,0.7493
419,0.797
420,0.7601
421,0.8082
422,0.8054
423,0.8825
424,0.8526
425,0.8297
426,0.9256
427,0.8988
428,0.8578
429,0.8811
430,0.8071
431,0.866
432,0.8101
433,0.8247
434,0.8262
435,0.8669
436,0.8475
437,0.8697
438,0.839
439,0.7768
440,0.8131
441,0.8823
442,0.7427
443,0.8954
444,0.8395
445,0.8132
446,0.8885
447,0.8664
448,0.7671
449,0.8297
450,0.8804
451,0.8241
452,0.8295
453,0.8402
454,0.7624
455,0.8887
456,0.817
457,0.7824
458,0.7833
459,0.878
460,0.8124
461,0.7792
462,0.7228
463,0.8035
464,0.7562
465,0.7656
466,0.7334
467,0.8947
468,0.7587
469,0.7833
470,0.81
471,0.7891
472,0.7787
473,0.7701
474,0.7722
475,0.7747
476,0.7985
477,0.7715
478,0.8065
479,0.7583
480,0.7735
481,0.8291
482,0.7839
483,0.7602
484,0.8589
485,0.7673
486,0.832
487,0.7932
488,0.7599
489,0.7691
490,0.7591
491,0.7768
492,0.76
493,0.768
494,0.8652
495,0.787
496,0.7556
497,0.788
498,0.7295
499,0.7625
500,0.8113
501,1.27
502,0.7864
503,0.8186
504,0.8022
505,0.7829
506,0.8576
507,0.7586
508,0.7538
509,0.8256
510,0.7887
511,0.7508
512,0.7802
513,0.7386
514,0.7782
515,0.7654
516,0.7785
517,0.786
518,0.7762
519,0.816
520,0.7564
521,0.7878
522,0.7894
523,0.7703
524,0.7606
525,0.7833
526,0.7573
527,0.7702
528,0.7362
529,0.796
530,0.7942
531,1.2164
532,0.7742
533,0.8083
534,0.746
535,0.7812
536,0.8503
537,0.7911
