frame_number,processing_time
1,2.0016
2,1.9479
3,1.8426
4,1.7345
5,2.0279
6,1.8599
7,1.7349
8,1.7418
9,1.8823
10,1.7699
11,2.0734
12,2.2104
13,2.1406
14,1.9914
15,1.9849
16,1.9891
17,2.0279
18,1.6886
19,1.788
20,1.8035
21,1.706
22,1.6302
23,1.7468
24,1.5233
25,1.7401
26,1.5763
27,1.6251
28,1.5327
29,1.5405
30,1.5246
31,1.7549
32,2.0071
33,1.9236
34,1.6683
35,1.784
36,1.9684
37,1.9909
38,1.8028
39,1.8114
40,1.7449
41,1.5881
42,1.7624
43,1.6813
44,2.1235
45,2.8725
46,2.3055
47,1.7458
48,1.8571
49,2.3152
50,2.0367
51,1.7022
52,1.8136
53,1.8594
54,1.6806
55,1.5837
56,1.5984
57,1.6061
58,1.6624
59,1.8314
60,1.526
61,1.8501
62,1.8884
63,2.1054
64,1.7095
65,1.8013
66,3.143
67,1.6022
68,1.9404
69,1.7867
70,1.8769
71,1.7291
72,1.7718
73,1.6378
74,1.8077
75,2.0743
76,1.6314
77,1.7931
78,1.7038
79,1.8669
80,1.8348
81,1.8309
82,1.7306
83,1.6057
84,1.8227
85,1.5958
86,1.8682
87,1.6037
88,1.7166
89,1.9005
90,1.539
91,1.663
92,1.6179
93,1.7749
94,1.6726
95,1.7126
96,1.8532
97,1.3406
98,1.689
99,1.686
100,1.9721
101,1.699
102,1.6859
103,1.6917
104,1.5684
105,2.2525
106,1.657
107,1.7137
108,1.9161
109,1.5119
110,1.7219
111,1.6187
112,1.4819
113,1.7299
114,1.5569
115,1.7662
116,1.6149
117,1.5674
118,1.9546
119,1.5679
120,1.5404
121,1.6718
122,1.523
123,1.8447
124,1.6803
125,1.5169
126,1.5726
127,1.4754
128,1.8647
129,1.7041
130,1.7236
131,1.6008
132,1.8219
133,1.5849
134,1.581
135,1.5458
136,1.4567
137,1.6371
138,1.6406
139,1.4412
140,1.6385
141,1.5731
142,1.5474
143,1.9309
144,1.7395
145,1.5943
146,1.7184
147,1.5176
148,1.5643
149,1.573
150,1.4043
151,1.3701
152,1.4165
153,1.3859
154,1.3065
155,1.4537
156,1.3399
157,1.3991
158,1.4221
159,1.3303
160,1.4722
161,1.3944
