frame_number,processing_time
1,0.561
2,0.4878
3,0.414
4,0.4115
5,0.4696
6,0.4285
7,0.4516
8,0.4386
9,0.5053
10,0.5379
11,0.5227
12,0.457
13,0.4233
14,0.4998
15,0.4544
16,0.4518
17,0.4872
18,0.5309
19,0.5157
20,0.5392
21,0.4833
22,0.5297
23,0.4631
24,0.4489
25,0.4792
26,0.5252
27,0.5039
28,0.6093
29,0.5805
30,0.4763
31,0.4996
32,0.4004
33,0.4222
34,0.392
35,0.4485
36,0.5439
37,0.5649
38,0.419
39,0.4101
40,0.4768
41,0.4143
42,0.5031
43,0.5318
44,0.4896
45,0.499
46,0.4007
47,0.4103
48,0.5223
49,0.4303
50,0.5043
51,0.5199
52,0.5147
53,0.6174
54,0.5348
55,0.4585
56,0.4172
57,0.4179
58,0.4403
59,0.4713
60,0.5291
61,0.5341
62,0.4566
63,0.5463
64,0.432
65,0.5002
66,0.4295
67,0.5138
68,0.428
69,0.5646
70,0.4136
71,0.4295
72,0.3889
73,0.4187
74,0.4277
75,0.3867
76,0.4587
77,0.4439
78,0.5381
79,0.5318
80,0.4087
81,0.4306
82,0.4383
83,0.4266
84,0.399
85,0.5362
86,0.4147
87,0.4663
88,0.499
89,0.4145
90,0.4739
91,0.5032
92,0.4539
93,0.4185
94,0.4545
95,0.4148
96,0.4179
97,0.425
98,0.4135
99,0.5348
100,0.4113
101,0.4591
102,0.4335
103,0.4043
104,0.3816
105,0.4188
106,0.4934
107,0.4728
108,0.4305
109,0.5163
110,0.3994
111,0.4177
112,0.4645
113,0.5313
114,0.4357
115,0.5065
116,0.4516
117,0.4066
118,0.7877
119,0.5465
120,0.5438
121,0.5231
122,0.3976
123,0.5638
124,0.4759
125,0.4072
126,0.519
127,0.5534
128,0.4815
129,0.5613
130,0.5764
131,0.4106
132,0.4805
133,0.405
134,0.4888
135,0.4804
136,0.4565
137,0.493
138,0.4212
139,0.5066
140,0.4686
141,0.5336
142,0.5138
143,0.5701
144,0.4058
145,0.4072
146,0.4032
147,0.4118
148,0.4935
149,0.5299
150,0.4759
151,0.3987
152,0.5047
153,0.455
154,0.4977
155,0.4486
156,0.4554
157,0.4693
158,0.493
159,0.5146
160,0.4266
161,0.5615
162,0.4547
163,0.4816
164,0.4398
165,0.4412
166,0.4528
167,0.4261
168,0.4376
169,0.54
170,0.4105
171,0.4459
172,0.4804
173,0.406
174,0.4776
175,0.4416
176,0.4045
177,0.4245
178,0.5443
179,0.4227
180,0.3839
181,0.5153
182,0.4074
183,0.4081
184,0.4808
185,0.4545
186,0.5015
187,0.4354
188,0.413
189,0.4149
190,0.5049
191,0.4826
192,0.3976
193,0.4239
194,0.4701
195,0.459
196,0.5122
197,0.429
198,0.4132
199,0.4339
200,0.4447
201,0.4097
202,0.5247
203,0.4886
204,0.4114
205,0.4163
206,0.4388
207,0.4346
208,0.4872
209,0.4248
210,0.4015
211,0.5311
212,0.4107
213,0.4053
214,0.4196
215,0.3946
216,0.4396
217,0.4444
218,0.3867
219,0.4125
220,0.4702
221,0.3993
222,0.4793
223,0.532
224,0.4017
225,0.4836
226,0.4868
227,0.4046
228,0.4441
229,0.4876
230,0.3878
231,0.4239
232,0.5183
233,0.3941
234,0.5115
235,0.537
236,0.4182
237,0.4879
238,0.4613
239,0.4001
240,0.5257
241,0.4412
242,0.3872
243,0.4432
244,0.4339
245,0.3875
246,0.4217
247,0.4316
248,0.4334
249,0.4128
250,0.5508
251,0.4926
252,0.462
253,0.4373
254,0.4
255,0.4149
256,0.4191
257,0.4101
258,0.4222
259,0.4363
260,0.4047
261,0.3992
262,0.4615
263,0.4126
264,0.4511
265,0.4027
266,0.4032
267,0.4566
268,0.417
269,0.4319
270,0.5464
271,0.428
272,0.4112
273,0.4713
274,0.4073
275,0.4096
276,0.439
277,0.4325
278,0.4329
279,0.4796
280,0.4374
281,0.4518
282,0.4354
283,0.4802
284,0.4448
285,0.4329
286,0.4618
287,0.427
288,0.4328
289,0.4087
290,0.4393
291,0.4451
292,0.5063
293,0.4139
294,0.4379
295,0.5071
296,0.4251
297,0.4354
298,0.405
299,0.4237
300,0.4721
301,0.4484
302,0.5739
303,0.5465
304,0.4205
305,0.4307
306,0.4536
307,0.4342
308,0.4355
309,0.4446
310,0.4316
311,0.4294
312,0.4531
313,0.4756
314,0.4736
315,0.4356
316,0.4261
317,0.4249
318,1.6124
319,0.4509
320,0.4701
321,0.4794
322,0.4315
323,0.4242
324,0.4561
325,0.4459
326,0.4524
327,0.4695
328,0.4177
329,0.429
330,0.4587
331,0.4527
332,0.4709
333,0.4365
334,0.425
335,0.4275
336,0.4424
337,0.4288
338,0.4483
339,0.4903
340,0.4303
341,0.4519
342,0.4388
343,0.4272
344,0.456
345,0.4639
346,0.4489
347,0.4134
348,0.5597
349,0.4488
350,0.4181
351,0.4445
352,0.4302
353,0.4244
354,0.4011
355,0.412
356,0.4425
357,0.4405
358,0.4654
359,0.3882
360,0.4138
361,0.3995
362,0.3934
363,0.4362
364,0.4074
365,0.3969
366,0.4688
367,0.4242
368,0.4491
369,0.4305
370,0.4105
371,0.4086
372,0.4656
373,0.567
374,0.482
375,0.4104
376,0.4095
377,0.4113
378,0.4063
379,0.3971
380,0.4181
381,0.4604
382,0.4183
383,0.4093
384,0.4021
385,0.4082
386,0.4165
387,0.4224
388,0.4159
389,0.4822
390,0.4393
391,0.3907
392,0.4799
393,0.4229
394,0.4072
395,0.4302
396,0.4254
397,0.4153
398,0.4251
399,0.4297
400,0.4095
401,0.4127
402,0.4337
403,0.4195
404,0.4179
405,0.4325
406,0.4044
407,0.4471
408,0.4401
409,0.4258
410,0.4407
411,0.4607
412,0.4123
413,0.4174
414,0.4353
415,0.389
416,0.4461
417,0.4418
418,0.4214
419,0.4324
420,0.4931
421,0.5152
422,0.4598
423,0.4491
424,0.429
425,0.4481
426,0.4433
427,0.4261
428,0.428
429,0.4949
430,0.4304
431,0.4397
432,0.4367
433,0.446
434,0.4332
435,0.3959
436,0.4065
437,0.4298
438,0.4048
439,0.408
440,0.5061
441,0.4094
442,0.4215
443,0.4518
444,0.5397
445,0.4519
446,0.4647
447,0.429
448,0.4149
449,0.4367
450,0.4164
451,0.4643
452,0.4493
453,0.3963
454,0.4148
455,0.4614
456,0.507
457,0.4525
458,0.4428
459,0.4085
460,0.4402
461,0.4569
462,0.4196
463,0.4347
464,0.4342
465,0.4574
466,0.5365
467,0.4307
468,0.3943
469,0.5893
470,0.4341
471,0.4482
472,0.4698
473,0.4435
474,0.5343
475,0.3805
476,0.4241
477,0.5295
478,0.4266
479,0.4491
480,0.4716
481,0.4225
482,0.426
483,0.4038
484,0.478
485,0.4093
486,0.4248
487,0.4608
488,0.4289
489,0.4009
490,0.4304
491,0.403
492,0.4459
493,0.4623
494,0.4335
495,0.3963
496,0.5363
497,0.3984
498,0.4323
499,0.4367
500,0.4533
501,0.4883
502,0.4809
503,0.4245
504,0.4409
505,0.523
506,0.4435
507,0.4612
508,0.4252
509,0.4367
510,0.4167
511,0.4291
512,0.4208
513,0.4492
514,0.43
515,0.3938
516,0.3983
517,0.5376
518,0.3944
519,0.438
520,0.5101
521,0.461
522,0.4673
523,0.5112
524,0.4187
525,0.4773
526,0.4974
527,0.4388
528,0.478
529,0.475
530,0.459
531,0.532
532,0.4341
533,0.4731
534,0.5349
535,0.523
536,0.4772
537,0.4283
538,0.4454
539,0.5173
540,0.4612
541,0.4122
542,0.4219
543,0.4249
544,0.4527
545,0.4778
546,0.4844
547,0.4433
548,0.4479
549,0.4845
550,0.4748
551,0.4326
552,0.408
553,0.5298
554,0.4245
555,0.4589
556,0.4375
557,0.4952
558,0.3919
559,0.493
560,0.4681
561,0.4141
562,0.5599
563,0.4617
564,0.4898
565,0.5109
566,0.3956
567,0.3953
568,0.5325
569,0.5119
570,0.4359
571,0.4628
572,0.3841
573,0.4285
574,0.5157
575,0.4503
576,0.4539
577,0.4586
578,0.4214
579,0.4046
580,0.4418
581,0.4072
582,0.4318
583,0.4355
584,0.3952
585,0.4533
586,0.4869
587,0.5353
588,0.4593
589,0.5448
590,0.4174
591,0.4748
592,0.4843
593,0.4169
594,0.4529
595,0.4264
596,0.4795
597,0.5256
598,0.5462
599,0.4646
600,0.5077
601,0.4731
602,0.4095
603,0.4904
604,0.4434
605,0.388
606,0.4008
607,0.4872
608,0.3892
609,0.4263
610,0.4132
611,0.4389
612,0.4024
613,0.4417
614,0.4504
615,0.4873
616,0.4113
617,0.4495
618,0.5571
619,0.5806
620,0.4042
621,0.41
622,0.4262
623,0.4019
624,0.4886
625,0.5396
626,0.3909
627,0.5337
628,0.4732
629,0.444
630,0.4671
631,0.4691
632,0.3887
633,0.48
634,0.4174
635,0.4155
636,0.4859
637,0.4218
638,0.4077
639,0.4381
640,0.4102
641,0.4609
642,0.4651
643,0.4244
644,0.4925
645,0.481
646,0.5437
647,0.3942
648,0.4544
649,0.3978
650,0.4933
651,0.6196
652,0.5264
653,0.3888
654,0.4223
655,0.4668
656,0.4803
657,0.4971
658,0.464
659,0.3866
660,0.3947
661,0.3988
662,0.4066
663,0.4096
664,0.4649
665,0.4488
666,0.4889
667,0.4096
668,0.5323
669,0.5102
670,0.4681
671,0.4091
672,0.4221
673,0.4719
674,0.4287
675,0.43
676,0.4618
677,0.4189
678,0.4203
679,0.5257
680,0.3954
681,0.4451
682,0.509
683,0.4336
684,0.3993
685,0.4973
686,0.4176
687,0.4247
688,0.4788
689,0.4226
690,0.4455
691,0.4213
692,0.4362
693,0.4298
694,0.48
695,0.3897
696,0.4541
697,0.4305
698,0.4854
699,0.4462
700,0.4858
701,0.4531
702,0.4136
703,0.4879
704,0.4579
705,0.5393
706,0.4609
707,0.4701
708,0.4355
709,0.4487
710,0.4572
711,0.4613
712,0.4506
713,0.4349
714,0.4875
715,0.4802
716,0.3962
717,0.4944
718,0.4794
719,0.418
720,0.4406
721,0.4383
722,0.3971
723,0.4834
724,0.4734
725,0.4149
726,0.4136
727,0.4721
728,0.4163
729,0.4068
730,0.4917
731,0.4669
732,0.5078
733,0.4599
734,0.4044
735,0.3981
736,0.4346
737,0.3924
738,0.5181
739,0.4791
740,0.401
741,0.4789
742,0.3961
743,0.4367
744,0.4253
745,0.4391
746,0.4432
747,0.413
748,0.4851
749,0.4275
750,0.3942
751,0.4111
752,0.4125
753,0.419
754,0.4243
755,0.4523
756,0.396
757,0.5082
758,0.444
759,0.4385
760,0.4408
761,0.4051
762,0.4647
763,0.4361
764,0.481
765,0.4029
766,0.4417
767,0.4103
768,0.4439
769,0.4492
770,0.4363
771,0.428
772,0.4017
773,0.46
774,0.468
775,0.4326
776,0.4464
777,0.4331
778,0.4319
779,0.4566
780,0.4228
781,0.451
782,0.463
783,0.4209
784,0.4638
785,0.4768
786,0.462
787,0.4197
788,0.4285
789,0.3938
790,0.4787
791,0.5035
792,0.4052
793,0.4318
794,0.453
795,0.3959
796,0.4533
797,0.5204
798,0.4133
799,0.439
800,0.5248
801,0.4061
802,0.4724
803,0.408
804,0.4952
805,0.5102
806,0.417
807,0.4274
808,0.465
809,0.4528
810,1.2895
811,0.4428
812,0.4194
813,0.4475
814,0.4813
815,0.4075
816,0.4924
817,0.4798
818,0.4909
819,0.4579
820,0.5391
821,0.4273
822,0.4721
823,0.4092
824,0.4128
825,0.4744
826,0.5212
827,0.4177
828,0.4609
829,0.4145
830,0.461
831,0.4244
832,0.4438
833,0.4059
834,0.4943
835,0.5965
836,0.4007
837,0.4709
838,0.5049
839,0.3945
840,0.4102
841,0.4638
842,0.4288
843,0.4135
844,0.4437
845,0.3831
846,0.4499
847,0.414
848,0.4137
849,0.4481
850,0.4909
851,0.3933
852,0.4288
853,0.4635
854,0.5285
855,0.4425
856,0.4303
857,0.3846
858,0.4394
859,0.474
860,0.398
861,0.4945
862,0.4422
863,0.4196
864,0.4051
865,0.4174
866,0.4143
867,0.5511
868,0.4429
869,0.4619
870,0.556
871,0.4077
872,0.4276
873,0.4613
874,0.4134
875,0.3982
876,0.4696
877,0.4326
878,0.4593
879,0.4888
880,0.4229
881,0.4814
882,0.5964
883,1.7266
884,0.4112
885,0.4452
886,0.4458
887,0.4464
888,0.4501
889,0.448
890,0.4331
891,0.4254
892,0.4293
893,0.4204
894,0.479
895,0.4184
896,0.4216
897,0.4352
898,0.4466
899,0.4216
900,0.4429
901,0.4299
902,0.4399
903,0.4648
904,0.4285
905,1.7096
906,0.4324
907,0.4365
908,0.4505
909,1.6189
910,0.4498
911,0.4417
912,0.4351
913,0.423
914,0.4257
915,0.4484
916,0.4263
917,0.4409
918,0.4567
919,0.4321
920,0.4379
921,0.7233
922,0.5894
923,0.4322
924,0.4376
925,0.4651
926,0.4128
927,0.4308
928,0.4708
929,0.4232
930,0.4804
931,0.4645
932,0.4115
933,0.5556
934,0.4077
935,0.3948
936,0.4068
937,0.4014
938,0.4203
939,0.4041
940,0.4303
941,0.446
942,0.4364
943,0.44
944,0.4198
945,0.4481
946,0.8986
947,0.5434
948,0.3918
949,0.4969
950,0.4838
951,0.4138
952,0.4805
953,0.4851
954,0.9281
955,0.411
956,0.4185
957,0.4188
958,0.4417
959,0.463
960,0.4836
961,0.4399
962,0.5359
963,0.4163
964,0.442
965,0.4611
966,0.4881
967,0.4731
968,0.4108
969,0.4255
970,0.4879
971,0.4908
972,0.4887
973,0.5491
974,0.3898
