frame_number,processing_time
1,0.4863
2,0.4506
3,0.4473
4,0.5118
5,0.4212
6,0.3978
7,0.4549
8,0.4613
9,0.4211
10,0.4372
11,0.449
12,0.4596
13,0.4881
14,0.5525
15,0.3815
16,0.449
17,0.4085
18,0.4297
19,0.4802
20,0.4428
21,0.4988
22,0.4987
23,0.3734
24,0.4758
25,0.4697
26,0.4572
27,0.4229
28,0.456
29,0.4439
30,0.4869
31,0.4644
32,0.4082
33,0.3983
34,0.5058
35,0.3869
36,0.3968
37,0.558
38,0.4277
39,0.4296
40,0.3904
41,0.4065
42,0.564
43,0.454
44,0.4112
45,0.4369
46,0.4295
47,0.4817
48,0.4062
49,0.4161
50,0.4422
51,0.4323
52,0.4052
53,0.4711
54,0.4511
55,0.4172
56,0.4708
57,0.4994
58,0.4049
59,0.3828
60,0.4484
61,0.4201
62,0.4221
63,0.4298
64,0.4242
65,0.3838
66,0.528
67,0.4077
68,0.4024
69,0.3885
70,0.45
71,0.4535
72,0.4154
73,0.4079
74,0.4349
75,0.4733
76,0.4156
77,0.4825
78,0.3919
79,0.4214
80,0.447
81,0.3999
82,0.4124
83,0.4188
84,0.4509
85,0.4185
86,0.4127
87,0.4274
88,0.4119
89,0.4337
90,0.4218
91,0.4148
92,0.4076
93,0.4116
94,0.4856
95,0.3823
96,0.407
97,0.5168
98,0.5269
99,0.5187
100,0.4348
101,0.4066
102,0.3895
103,0.4188
104,0.4817
105,0.4152
106,0.462
107,0.4258
108,0.4025
109,0.4821
110,0.4841
111,0.402
112,0.4567
113,0.4247
114,0.448
115,0.4473
116,0.4315
117,0.4084
118,0.5194
119,0.4539
120,0.4253
121,0.4648
122,0.4515
123,0.3804
124,0.4375
125,0.4573
126,0.3919
127,0.4023
128,0.4141
129,0.3955
130,0.4569
131,0.4138
132,0.3816
133,0.4635
134,0.3851
135,0.393
136,0.4364
137,0.4005
138,0.4399
139,0.4248
140,0.433
141,0.4662
142,0.4037
143,0.4099
144,0.4425
145,0.3933
146,0.4461
147,0.3943
148,0.4099
149,0.424
150,0.3998
151,0.4512
152,0.3929
153,0.439
154,0.3987
155,0.3916
156,0.4498
157,0.3959
158,0.4098
159,0.5089
160,0.4558
161,0.4421
162,0.4575
163,0.4456
164,0.4326
165,0.4397
166,0.484
167,0.4209
168,0.4827
169,0.4771
170,0.4335
171,0.4066
172,0.4723
173,0.4142
174,0.4203
175,0.5037
176,0.4243
177,0.4042
178,0.4536
179,0.498
180,0.3999
181,0.5105
182,0.4139
183,0.4006
