frame_number,processing_time
1,0.8952
2,0.775
3,0.7873
4,0.7722
5,0.7494
6,0.7824
7,0.6942
8,0.7848
9,0.8024
10,0.7686
11,0.756
12,0.7873
13,0.8438
14,0.9239
15,0.7825
16,0.8171
17,0.8686
18,0.7649
19,0.8354
20,0.7381
21,0.7974
22,0.786
23,0.8169
24,0.7841
25,0.8256
26,0.858
27,0.8024
28,0.9921
29,0.8314
30,0.8172
31,0.825
32,0.8717
33,0.8432
34,0.7365
35,0.7517
36,0.7924
37,0.8338
38,0.7651
39,0.8211
40,0.7054
41,0.8065
42,0.7496
43,0.8398
44,0.9113
45,0.8448
46,0.8328
47,0.8635
48,0.8428
49,0.8389
50,0.8439
51,0.8078
52,0.8914
53,0.8005
54,0.7561
55,0.7461
56,0.7971
57,0.8416
58,0.8753
59,0.8657
60,0.8776
61,0.867
62,0.8839
63,0.8325
64,0.8843
65,0.7942
66,0.7247
67,0.7676
68,0.8168
69,0.8492
70,0.8673
71,0.7436
72,0.8072
73,0.8352
74,0.7604
75,0.7691
76,0.7495
77,0.7664
78,0.9161
79,0.7601
80,0.7328
81,0.8486
82,0.7893
83,0.7342
84,0.7579
85,0.8595
86,0.9145
87,0.7338
88,0.764
89,0.759
90,0.7587
91,0.8397
92,0.7363
93,0.7703
94,0.7302
95,0.8047
96,0.844
97,0.8159
98,0.7848
99,0.8821
100,0.8114
101,0.7266
102,0.7662
103,0.747
104,0.7481
105,0.8162
106,0.8451
107,0.77
108,0.878
109,0.8073
110,0.8066
111,0.7629
112,0.7675
113,0.77
114,0.7972
115,0.7572
116,0.7574
117,0.7257
118,0.7667
119,0.8031
120,0.8241
121,0.7875
122,0.8427
123,0.8592
124,0.8484
125,0.8516
126,0.7981
127,0.8564
128,0.8561
129,0.8549
130,0.8357
131,0.8513
132,0.7336
133,0.8038
134,0.8531
135,0.807
136,0.8453
137,0.8474
138,0.8641
139,0.8501
140,0.8159
141,0.8516
142,0.8513
143,0.8493
144,0.7255
145,0.7345
146,0.775
147,0.7366
148,0.8223
149,0.8114
150,0.8505
151,0.8366
152,0.7694
153,0.7708
154,0.8677
155,0.8108
156,0.7789
157,0.7905
158,0.7534
159,0.7888
160,0.8453
161,0.8582
162,0.8007
163,0.779
164,0.7755
165,0.7589
166,0.8628
167,0.7673
168,0.8875
169,0.8992
170,0.8996
171,0.7825
172,0.7272
173,0.8247
174,0.8339
175,0.9216
176,0.8092
177,0.8037
178,0.8805
179,0.9002
180,0.8074
181,1.0753
182,0.8296
183,0.916
184,0.8459
185,0.8562
186,0.7668
187,0.8831
188,0.814
189,0.8013
190,0.851
191,0.8548
192,0.8238
193,0.9008
194,0.8602
195,0.8851
196,0.7666
197,0.7374
198,0.8721
199,0.7661
200,0.9049
201,0.7409
202,0.7898
203,0.7573
204,0.7483
205,0.7703
206,0.7793
207,0.7725
208,0.794
209,0.7637
210,0.8146
211,0.7481
212,0.734
213,0.8055
214,0.7838
215,0.8038
216,0.9238
217,0.7832
218,0.7714
219,0.7378
220,0.8078
221,0.7554
222,0.7501
223,0.8283
224,0.8272
225,0.7482
226,0.8316
227,0.8115
228,0.7665
229,0.8925
230,0.8548
231,0.8141
232,0.8932
233,0.9284
234,0.8495
235,0.7579
236,0.7798
237,0.8542
238,0.8287
239,0.8834
240,0.8706
241,0.765
242,0.8721
243,0.862
244,0.7695
245,0.8835
246,0.7542
247,0.7189
248,0.9647
249,0.7391
250,0.7265
251,0.9344
252,0.7225
253,0.7295
254,0.7484
255,0.739
256,0.7495
257,0.7469
258,0.7627
259,0.7834
260,0.7976
261,0.8189
262,0.7881
263,0.762
264,0.8021
265,0.7384
266,0.9059
267,0.7759
268,0.7244
269,0.7807
270,0.8578
271,0.752
272,0.7665
273,0.7874
274,0.7456
275,0.7605
276,0.7122
277,0.74
278,0.8274
279,0.7775
280,0.8107
281,0.7464
282,0.7649
283,0.8174
284,0.796
285,0.7943
286,0.8376
287,0.7707
288,0.7715
289,0.7852
290,0.7519
291,0.7813
292,0.7583
293,0.8607
294,0.7701
295,0.7843
296,0.8392
297,0.9288
298,0.8018
299,0.8788
300,1.1444
301,0.8826
302,0.862
303,0.8183
304,0.8465
305,0.9814
306,0.9135
307,0.8471
308,0.861
309,0.8562
310,0.8024
311,0.8064
312,0.8417
313,0.8827
314,0.8418
315,0.8495
316,0.8571
317,0.9548
318,0.8106
319,0.8129
320,0.7797
321,0.7655
322,0.7808
323,0.7329
324,0.8397
325,0.7867
326,0.7419
327,0.8506
328,0.7546
329,0.7925
330,0.7745
331,0.82
332,0.7871
333,0.8654
334,0.8134
335,0.7337
336,0.8212
337,0.7969
338,0.7751
339,0.8804
340,0.7511
341,0.8236
342,0.8323
343,0.8218
344,0.8394
345,0.8224
346,0.8606
347,0.8162
348,0.797
349,0.8998
350,0.8685
351,0.9091
352,0.8055
353,0.8277
354,0.7953
355,0.8108
356,0.7769
357,0.8155
358,0.8117
359,0.8107
360,0.8028
361,0.8607
362,0.7987
363,0.8968
364,0.8607
365,0.8857
366,0.8528
367,0.8774
368,0.8504
369,0.7721
370,0.8382
371,0.8531
372,0.8725
373,0.8931
374,0.8175
375,0.725
376,0.8046
377,0.9337
378,0.8866
379,0.7682
380,0.8244
381,0.8752
382,0.7703
383,0.8651
384,0.8453
385,0.8075
386,0.8076
387,0.8947
388,0.755
389,0.8465
390,0.7898
391,0.8751
392,0.8469
393,0.8268
394,0.8419
395,0.8518
396,1.005
397,0.8838
398,0.8572
399,0.8561
400,0.7775
401,0.7837
402,0.7193
403,0.77
404,0.7526
405,1.2293
406,0.7936
407,0.8651
408,0.8621
409,1.3266
410,0.9148
411,0.7445
412,0.8632
413,0.8502
414,0.8469
415,0.7244
416,0.7374
417,0.7304
418,0.8458
419,0.7853
420,0.7832
421,0.7463
422,0.7856
423,0.8502
424,0.8717
425,0.8097
426,0.828
427,0.7817
428,0.7709
429,0.7717
430,0.8275
431,0.8129
432,0.783
433,0.9004
434,0.8176
435,0.8108
436,0.8231
437,0.8031
438,0.8469
439,0.7551
440,0.8091
441,0.7519
442,1.0532
443,0.8397
444,0.8848
445,0.7698
446,0.8201
447,0.8066
448,0.8212
449,0.7864
450,0.7584
451,0.8034
452,0.7846
453,0.8892
454,0.7937
455,0.7687
456,0.8225
457,0.7692
458,0.7718
459,0.895
460,0.8395
461,0.7483
462,0.8523
463,0.7587
464,0.8041
465,0.7489
466,0.8058
467,0.7904
468,0.7453
469,0.8648
470,0.7917
471,0.8276
472,0.8145
473,0.7952
474,0.8019
475,0.8339
476,0.7558
477,0.8294
478,0.7712
479,0.8003
480,0.7866
481,0.7903
482,0.8197
483,0.8579
484,0.7877
485,0.7705
486,0.719
487,0.7852
488,0.8123
489,0.7374
490,0.7617
491,0.7775
492,0.8647
493,0.7654
494,0.7671
495,0.8832
496,0.7415
497,0.794
498,0.8098
499,0.7335
500,0.8334
501,0.734
502,0.7767
503,0.852
504,0.8814
505,0.7291
506,0.8305
507,0.7411
508,0.7571
509,0.8956
510,0.7894
511,0.7352
512,0.8026
513,0.8
514,0.7565
515,0.7806
516,0.9611
517,0.7711
518,0.9099
519,0.8351
520,0.9088
521,0.9659
522,0.8197
523,0.8147
524,0.899
